"Symbol";"Company";"Sector";"Subsector";"Price";"Country"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services";"39.44";"Germany"
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical";"32.3";"USA"
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"11.15";"USA"
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.85";"USA"
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"1.65";"USA"
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services";"10.02";"USA"
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services";"173.75";"USA"
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services";"1.22";"Germany"
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services";"6.33";"China"
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining";"0.1";"Canada"
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services";"0.66";"USA"
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education";"1.1";"China"
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management";"7.34";"USA"
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"5.43";"USA"
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"1.11";"USA"
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management";"0.01";"USA"
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical";"2.75";"USA"
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates";"2";"USA"
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks";"8000";"USA"
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks";"10.96";"USA"
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining";"0.26";"Canada"
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers";"0.07";"Canada"
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services";"24.61";"USA"
"FISB";"1st Cap Bancorp";"Financial Services";"Banks";"13.73";"USA"
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks";"11.22";"USA"
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks";"9.7";"USA"
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks";"22.11";"USA"
"SRCE";"1st Source Corp";"Financial Services";"Banks";"46.73";"USA"
"FSMK";"1st Summit Bancorp Johnstown Inc";"Financial Services";"Banks";"132.5";"USA"
"DIBS";"1stdibs.com Inc";"Consumer Cyclical";"Retail - Cyclical";"16.74";"USA"
"VNET";"21Vianet Group Inc";"Technology";"Software";"18.76";"China"
"XXII";"22nd Century Group Inc";"Healthcare";"Drug Manufacturers";"3.46";"USA"
"ME";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"8.68";"USA"
"MEUSW";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"1.61";"USA"
"TFSVF";"24SevenOffice Group AB";"Technology";"Software";"3.22";"Norway"
"ADERU";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.05";"USA"
"ADER";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.66";"USA"
"ADERW";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.95";"USA"
"ZGBEF";"2G Energy AG";"Industrials";"Industrial Products";"84";"Germany"
"SYGWF";"2invest AG";"Healthcare";"Drug Manufacturers";"1.2";"Germany"
"FBSBF";"2invest AG";"Healthcare";"Drug Manufacturers";"15.5";"Germany"
"TWOU";"2U Inc";"Consumer Defensive";"Education";"36.68";"USA"
"DMTRF";"3-D Matrix Ltd";"Healthcare";"Medical Devices & Instruments";"2.56";"Japan"
"QFIN";"360 DigiTech Inc";"Financial Services";"Credit Services";"21.87";"China"
"TSIOF";"361 Degrees International Ltd";"Consumer Cyclical";"Travel & Leisure";"0.43";"China"
"KRKR";"36KR Holdings Inc";"Communication Services";"Interactive Media";"1.67";"China"
"HHHEF";"37 Capital Inc";"Basic Materials";"Metals & Mining";"0.21";"Canada"
"SCWO";"374Water Inc";"Industrials";"Industrial Products";"1.88";"USA"
"TOILF";"3D Oil Ltd";"Energy";"Oil & Gas";"0.04";"Australia"
"DPSM";"3D Pioneer Systems Inc";"Technology";"Hardware";"2.06";"USA"
"DDD";"3D Systems Corp";"Technology";"Hardware";"30.13";"USA"
"THDS";"3Dshopping.com Inc";"Technology";"Software";"0.18";"USA"
"DDDX";"3DX Industries Inc";"Technology";"Hardware";"0.09";"USA"
"TGOPF";"3i Group PLC";"Financial Services";"Asset Management";"8.15";"UK"
"TGOPY";"3i Group PLC";"Financial Services";"Asset Management";"8.79";"UK"
"MMM";"3M Co";"Industrials";"Industrial Products";"196.17";"USA"
"PSPW";"3Power Energy Group Inc";"Utilities";"Utilities - Independent Power Producers";"0.08";"United Arab Emirates"
NA;NA;NA;NA;NA;NA
"NCNNF";"48North Cannabis Corp";"Healthcare";"Drug Manufacturers";"0.06";"Canada"
"FNINF";"49 North Resources Inc";"Financial Services";"Asset Management";"0.05";"Canada"
"CATV";"4Cable TV International Inc";"Communication Services";"Media - Diversified";"0.01";"USA"
"FDMT";"4D Molecular Therapeutics Inc";"Healthcare";"Biotechnology";"30.35";"USA"
"FRPRF";"4d pharma PLC";"Healthcare";"Biotechnology";"1.21";"UK"
"LBPS";"4d pharma PLC";"Healthcare";"Biotechnology";"10.03";"UK"
"LBPSW";"4d pharma PLC";"Healthcare";"Biotechnology";"1.04";"UK"
"FDMDF";"4DMedical Ltd";"Healthcare";"Medical Devices & Instruments";"1.3";"Australia"
"FRDSF";"4DS Memory Ltd";"Technology";"Semiconductors";"0.15";"Australia"
"FFNTF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"1.05";"USA"
"FFVWF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"0.35";"USA"
"FUNWF";"4Fun Media SA";"Communication Services";"Media - Diversified";"1.84";"Poland"
"FOREY";"4imprint Group PLC";"Communication Services";"Media - Diversified";"47.31";"UK"
"FSCGF";"4SC AG";"Healthcare";"Biotechnology";"5.3";"Germany"
"JOBS";"51job Inc";"Industrials";"Business Services";"75.28";"China"
"WUBA";"58.com Inc";"Communication Services";"Interactive Media";"55.88";"China"
"FVAM";"5:01 Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.87";"USA"
"FNGWF";"5G Networks Ltd";"Communication Services";"Telecommunication Services";"0.76";"Australia"
"FPLSF";"5N Plus Inc";"Basic Materials";"Chemicals";"2.25";"Canada"
"SIXD";"6D Global Technologies Inc";"Technology";"Software";"0.15";"USA"
"SVNJ";"727 Communications Inc";"Financial Services";"Asset Management";"0.99";"USA"
"SVNTF";"79North Inc";"Basic Materials";"Metals & Mining";"0.1";"Canada"
"SCPKF";"7C Solarparken AG";"Technology";"Semiconductors";"6";"Germany"
"VIIAU";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.9";"USA"
"VII";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.65";"USA"
"VIIAW";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"0.6";"USA"
"RNWR";"808 Renewable Energy Corp";"Utilities";"Utilities - Independent Power Producers";"0.19";"USA"
"EEENF";"88 Energy Ltd";"Energy";"Oil & Gas";"0.03";"Australia"
"TNGRY";"88 Energy Ltd";"Energy";"Oil & Gas";"0.02";"Australia"
"EIHDF";"888 Holdings PLC";"Consumer Cyclical";"Travel & Leisure";"5.65";""
"ENFAU";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"10.23";"USA"
"ENFA";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"9.87";"USA"
"ENFAW";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"1.16";"USA"
"ETNB";"89bio Inc";"Healthcare";"Biotechnology";"20.03";"USA"
"JFKKU";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.8";"Singapore"
"JFK";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"9";"Singapore"
"CAFD";"8point3 Energy Partners LP";"Utilities";"Utilities - Independent Power Producers";"12.42";"USA"
"EGHT";"8x8 Inc";"Technology";"Software";"24.02";"USA"
"NMTR";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"1.25";"USA"
"INNTW";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"0.14";"USA"
"MASS";"908 Devices Inc";"Healthcare";"Medical Devices & Instruments";"36.86";"USA"
"NNCT";"99 Cent Stuff Inc";"Consumer Defensive";"Retail - Defensive";"0.01";"USA"
"JFU";"9F Inc";"Technology";"Software";"1.99";"China"
"ANTQ";"A A Importing Inc Co";"Consumer Cyclical";"Retail - Cyclical";"0.02";"USA"
"AISSF";"A I S Resources Ltd";"Basic Materials";"Metals & Mining";"0.05";"Canada"
"AWRRF";"A&W Revenue Royalties Income Fund";"Consumer Cyclical";"Restaurants";"29.51";"Canada"
"APCDF";"A-Cap Energy Ltd";"Basic Materials";"Metals & Mining";"0.03";"Australia"
"AMRK";"A-Mark Precious Metals Inc";"Financial Services";"Capital Markets";"48.58";"USA"
"ASNCF";"A-Sonic Aerospace Ltd";"Industrials";"Transportation";"0.24";"Singapore"
"AMKAF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2596";"Denmark"
"AMKBF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2782.35";"Denmark"
"AMKBY";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"14.57";"Denmark"
"SRIOF";"A. Soriano Corp";"Industrials";"Business Services";"0.13";"Philippines"
"OSTLY";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";"0.3";"Australia"
"CTAM";"A.M. Castle & Co";"Industrials";"Industrial Distribution";"5.5";"USA"
"AOS";"A.O. Smith Corp";"Industrials";"Industrial Products";"72.94";"USA"
"ASRAF";"A.S. Roma SpA";"Consumer Cyclical";"Travel & Leisure";"0.6";"Italy"
"AWON";"A1 Group Inc";"Consumer Cyclical";"Retail - Cyclical";"0.02";"USA"
"ATEN";"A10 Networks Inc";"Technology";"Software";"14.06";"USA"
"AEMMF";"A2A SpA";"Utilities";"Utilities - Regulated";"1.05";"Italy"
"AEMMY";"A2A SpA";"Utilities";"Utilities - Regulated";"10";"Italy"
"CBRGF";"A2B Australia Ltd";"Technology";"Software";"1.98";"Australia"
"CGAAY";"A2B Australia Ltd";"Technology";"Software";"1.81";"Australia"
"AAZZD";"A2Z Smart Technologies Corp";"Industrials";"Aerospace & Defense";"5.24";"Canada"
"AATDF";"AA PLC";"Consumer Cyclical";"Personal Services";"0.4";"UK"
"AAAG";"AAA Century Group USA Inc";"Financial Services";"Capital Markets";"0.42";"USA"
"ACCMF";"AAC Clyde Space AB";"Technology";"Hardware";"0.36";"Sweden"
"AACH";"AAC Holdings Inc";"Healthcare";"Healthcare Providers & Services";"0.03";"USA"
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.42";"Hong Kong"
"AACAY";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.45";"Hong Kong"
"AAGEF";"AAG Energy Holdings Ltd";"Energy";"Oil & Gas";"0.17";"Hong Kong"
"ARHUF";"AAK AB";"Consumer Defensive";"Consumer Packaged Goods";"18.75";"Sweden"
"AAIDY";"Aalberts NV";"Industrials";"Industrial Products";"1.69";"Netherlands"
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";"61.55";"Netherlands"
"AAON";"AAON Inc";"Industrials";"Construction";"69.2";"USA"
"AAPJ";"AAP Inc";"Technology";"Hardware";"0.07";"USA"
"AAHTF";"Aapico Hitech PLC";"Consumer Cyclical";"Vehicles & Parts";"0.53";"Thailand"
"AIR";"AAR Corp";"Industrials";"Aerospace & Defense";"33.8";"USA"
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";"24.5";"Germany"
"AAALY";"Aareal Bank AG";"Financial Services";"Banks";"27.78";"Germany"
"ABTBF";"AB Biotics";"Healthcare";"Biotechnology";"1.75";"Spain"
"ABDDF";"AB Dynamics PLC";"Consumer Cyclical";"Vehicles & Parts";"31.28";"UK"
"ABQQ";"AB International Group Corp";"Technology";"Software";"0.04";"USA"
"ABSCF";"AB Science";"Healthcare";"Drug Manufacturers";"16.83";"France"
"ABTO";"AB&T Financial Corp";"Financial Services";"Banks";"0.6";"USA"
"OXFSF";"Abaco Capital PLC";"Financial Services";"Asset Management";"0.21";"UK"
"ABCFF";"Abacus Mining & Exploration Corp";"Basic Materials";"Metals & Mining";"0.1";"Canada"
"ABPPF";"Abacus Property Group";"Real Estate";"REITs";"1.98";"Australia"
"NCGOF";"Abanca Corporacion Bancaria SA";"Financial Services";"Banks";"0.77";"Spain"
"ATTBF";"Abattis Bioceuticals Corp";"Healthcare";"Drug Manufacturers";"0.01";"Canada"
"ABXXF";"Abaxx Technologies Inc";"Technology";"Software";"3.05";"Canada"
"ABB";"ABB Ltd";"Industrials";"Industrial Products";"37.46";"Switzerland"
"ABLZF";"ABB Ltd";"Industrials";"Industrial Products";"38.22";"Switzerland"
"ABEYF";"Abbey PLC";"Consumer Cyclical";"Homebuilding & Construction";"20.74";"Ireland"
"ABT";"Abbott Laboratories";"Healthcare";"Medical Devices & Instruments";"125.94";"USA"
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";"120.57";"USA"
"ABBY";"Abby Inc";"Communication Services";"Interactive Media";"0.01";"USA"
"ABCCF";"ABC arbitrage SA";"Financial Services";"Asset Management";"8.14";"France"
"ABCR";"ABC Records Management and Data Storage Inc";"Financial Services";"Diversified Financial Services";"0.65";"Hong Kong"
"AMKYF";"ABC-Mart Inc";"Consumer Cyclical";"Retail - Cyclical";"57.75";"Japan"
"ABCZF";"Abcam PLC";"Healthcare";"Biotechnology";"20.73";"UK"
"ABCM";"Abcam PLC";"Healthcare";"Biotechnology";"20.94";"UK"
"ABCL";"AbCellera Biologics Inc";"Healthcare";"Biotechnology";"17.35";"Canada"
"ABCE";"ABCO Energy Inc";"Technology";"Semiconductors";"0.03";"USA"
"ABMBF";"Abcourt Mines Inc";"Basic Materials";"Metals & Mining";"0.09";"Canada"
"ABNAF";"Aben Resources Ltd";"Basic Materials";"Metals & Mining";"0.04";"Canada"
"ABGBY";"Abengoa SA";"Industrials";"Construction";"1.06";"Spain"
"ABGOF";"Abengoa SA";"Industrials";"Construction";"0.04";"Spain"
"ABGOY";"Abengoa SA";"Industrials";"Construction";"0.15";"Spain"
"AGOAF";"Abengoa SA";"Industrials";"Construction";"0.01";"Spain"
"ABEO";"Abeona Therapeutics Inc";"Healthcare";"Biotechnology";"1.28";"USA"
"ANF";"Abercrombie & Fitch Co";"Consumer Cyclical";"Retail - Cyclical";"36.52";"USA"
"FAX";"Aberdeen Asia-pacific Income Fund Inc";"Financial Services";"Asset Management";"4.24";"USA"
"ABAKF";"Aberdeen Asia-Pacific Income Investment Co Ltd";"Financial Services";"Asset Management";"2.4";""
"ABDNF";"Aberdeen Asset Management PLC";"Financial Services";"Asset Management";"4.35";"UK"
NA;NA;NA;NA;NA;NA
"ABE";"Aberdeen Emerging Markets Company Opportunities Fu";"Financial Services";"Asset Management";"14.7";"USA"
"AEF";"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.";"Financial Services";"Asset Management";"8.67";"USA"
"AGD";"Aberdeen Global Dynamic Dividend Fund";"Financial Services";"Asset Management";"12.34";"USA"
"FCO";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";"8.69";"USA"
"ASGI";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";"20.78";"USA"
"AWP";"Aberdeen Global Premier Properties Fund";"Financial Services";"Asset Management";"6.7";"USA"
"ACP";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";"11.32";"USA"
"ACPPA.PFD";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";"26.81";"USA"
"IF";"Aberdeen Indonesia Fund, Inc";"Financial Services";"Asset Management";"7.13";"USA"
"AABVF";"Aberdeen International Inc";"Financial Services";"Asset Management";"0.13";"Canada"
"ISL";"Aberdeen Israel Fund Inc";"Financial Services";"Asset Management";"18.68";"USA"
"JEQ";"Aberdeen Japan Equity Fund Inc";"Financial Services";"Asset Management";"9.21";"USA"
"LAQ";"Aberdeen Latin America Equity Fund Inc";"Financial Services";"Asset Management";"26.38";"USA"
"ABDTF";"Aberdeen New Dawn Investment Trust PLC";"Financial Services";"Asset Management";"2.52";"UK"
"SGF";"Aberdeen Singapore Fund Inc";"Financial Services";"Asset Management";"13.59";"USA"
"AOD";"Aberdeen Total Dynamic Dividend Fund";"Financial Services";"Asset Management";"10.41";"USA"
"ABGI";"ABG Acquisition Corp I";"Financial Services";"Diversified Financial Services";"9.62";"USA"
"ABGSF";"ABG Sundal Collier Holding ASA";"Financial Services";"Capital Markets";"1.65";"Norway"
"ABILF";"Ability Inc";"Technology";"Hardware";"0.41";"Israel"
"ABMD";"Abiomed Inc";"Healthcare";"Medical Devices & Instruments";"360.96";"USA"
"THRPF";"Abionyx Pharma";"Healthcare";"Biotechnology";"0.23";"France"
"ATBYF";"Abitibi Royalties Inc";"Basic Materials";"Metals & Mining";"16.01";"Canada"
"AAVXF";"Abivax SA";"Healthcare";"Biotechnology";"35.27";"France"
"NEVPF";"Abliva AB";"Healthcare";"Biotechnology";"0.1";"Sweden"
"ABLYF";"Ablynx NV";"Healthcare";"Biotechnology";"50.63";"Belgium"
"ABM";"ABM Industries Inc";"Industrials";"Business Services";"49.14";"USA"
"ABNRY";"ABN AMRO Bank NV";"Financial Services";"Banks";"10.46";"Netherlands"
"ABMRF";"ABN AMRO Bank NV";"Financial Services";"Banks";"13.9";"Netherlands"
"AAVMY";"ABN AMRO Bank NV";"Financial Services";"Banks";"13.67";"Netherlands"
"ABTZY";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";"8.04";"Philippines"
"ABOIF";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";"0.77";"Philippines"
"ABZPF";"Aboitiz Power Corp";"Utilities";"Utilities - Regulated";"0.51";"Philippines"
"ABZPY";"Aboitiz Power Corp";"Utilities";"Utilities - Regulated";"9.82";"Philippines"
"BBYLF";"Abra Information Technologies Ltd";"Technology";"Software";"1.02";"Israel"
"ABBRF";"Abrasilver Resource Corp";"Basic Materials";"Metals & Mining";"0.37";"Canada"
"AXAS";"Abraxas Petroleum Corp";"Energy";"Oil & Gas";"2.05";"USA"
"SLFPF";"Abrdn PLC";"Financial Services";"Asset Management";"3.67";"UK"
"SLFPY";"Abrdn PLC";"Financial Services";"Asset Management";"15.03";"UK"
"ASPAU";"Abri SPAC I Inc";"Financial Services";"Diversified Financial Services";"10.07";"USA"
"ABSOF";"ABS-CBN Holdings Corp";"Financial Services";"Capital Markets";"0.2";"Philippines"
"AGRPF";"Absa Group Ltd";"Financial Services";"Banks";"11.6";"South africa"
"AGRPY";"Absa Group Ltd";"Financial Services";"Banks";"20.76";"South africa"
"ABSI";"Absci Corp";"Healthcare";"Biotechnology";"18.21";"USA"
"ASCN";"Absecon Bancorp";"Financial Services";"Banks";"80";"USA"
"AHFI";"Absolute Health and Fitness Inc";"Consumer Cyclical";"Travel & Leisure";"0.3";"USA"
"ABSTF";"Absolute Invest AG";"Financial Services";"Asset Management";"28.2";"Switzerland"
"ABST";"Absolute Software Corp";"Technology";"Software";"12.08";"Canada"
"ABHD";"Abtech Holdings Inc";"Industrials";"Industrial Products";"1.08";"USA"
"ABVN";"ABV Consulting Inc";"Financial Services";"Diversified Financial Services";"0.5";"Hong Kong"
"ABVC";"ABVC BioPharma Inc";"Healthcare";"Biotechnology";"3.18";"USA"
"ACPIF";"AC Energy Corp";"Utilities";"Utilities - Independent Power Producers";"0.03";"Philippines"
"ACIU";"AC Immune SA";"Healthcare";"Biotechnology";"6.99";"Switzerland"
"ACPS";"AC Partners Inc";"Industrials";"Construction";"62.5";"USA"
"ACSX";"AC Simmonds and Sons Inc";"Industrials";"Conglomerates";"10.25";"Canada"
"ACCA";"Acacia Diversified Holdings Inc";"Healthcare";"Drug Manufacturers";"0.01";"USA"
"ABGLY";"Acacia Mining PLC";"Basic Materials";"Metals & Mining";"5";"UK"
"ACTG";"Acacia Research Corp";"Industrials";"Business Services";"5.89";"USA"
"URGYF";"Academy Metals Inc";"Basic Materials";"Metals & Mining";"0.45";"Canada"
"ASO";"Academy Sports and Outdoors Inc";"Consumer Cyclical";"Retail - Cyclical";"43.4";"USA"
"ACHC";"Acadia Healthcare Co Inc";"Healthcare";"Healthcare Providers & Services";"66.3";"USA"
"ACAD";"ACADIA Pharmaceuticals Inc";"Healthcare";"Biotechnology";"16.97";"USA"
"AKR";"Acadia Realty Trust";"Real Estate";"REITs";"21.23";"USA"
"ACAZF";"Acadian Timber Corp";"Basic Materials";"Forest Products";"14.76";"Canada"
"ACAMU";"Acamar Partners Acquisition Corp";"Financial Services";"Diversified Financial Services";"12.94";"USA"
"ACAM";"Acamar Partners Acquisition Corp";"Financial Services";"Diversified Financial Services";"12.3";"USA"
"ATHVF";"Acanthe Developpement SA";"Real Estate";"REITs";"0.88";"France"
"ACST";"Acasti Pharma Inc";"Healthcare";"Biotechnology";"3.21";"Canada"
"CAVG";"ACC Aviation Holdings Ltd";"Healthcare";"Drug Manufacturers";"0.28";"China"
"ACEL";"Accel Entertainment Inc";"Consumer Cyclical";"Travel & Leisure";"11.52";"USA"
"AAQC.U";"Accelerate Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.9";"USA"
"AAQC";"Accelerate Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.64";"USA"
"AXDX";"Accelerate Diagnostics Inc";"Healthcare";"Medical Diagnostics & Research";"6.21";"USA"
"ATHC";"Accelerated Technologies Holding Corp";"Technology";"Software";"0.4";"USA"
"XLRN";"Acceleron Pharma Inc";"Healthcare";"Biotechnology";"132.76";"USA"
"ACWRF";"Acceleware Ltd";"Technology";"Software";"0.24";"Canada"
"ACGPF";"Accell Group NV";"Consumer Cyclical";"Travel & Leisure";"49.85";"Netherlands"
"ACN";"Accenture PLC";"Technology";"Software";"337";"Ireland"
"ACSBL";"Access Bank PLC";"Financial Services";"Banks";"0.08";""
"AIEDF";"Access International Education Ltd";"Consumer Defensive";"Education";"0.23";"Canada"
NA;NA;NA;NA;NA;NA
"LOQPF";"accesso Technology Group PLC";"Technology";"Software";"9.55";"UK"
"ACXIF";"Acciona SA";"Industrials";"Construction";"164";"Spain"
"ACCO";"ACCO Brands Corp";"Industrials";"Industrial Products";"9.25";"USA"
"ACCD";"Accolade Inc";"Healthcare";"Healthcare Providers & Services";"47.22";"USA"
"ACCYY";"Accor SA";"Consumer Cyclical";"Travel & Leisure";"6.79";"France"
"ACRFF";"Accor SA";"Consumer Cyclical";"Travel & Leisure";"34.42";"France"
"ACCFF";"Accord Financial Corp";"Financial Services";"Credit Services";"7.41";"Canada"
"ACGFF";"Accordia Golf Co Ltd";"Consumer Cyclical";"Travel & Leisure";"10";"Japan"
"ACGFY";"Accordia Golf Co Ltd";"Consumer Cyclical";"Travel & Leisure";"10.79";"Japan"
"ACFFF";"Accordia Golf Trust";"Consumer Cyclical";"Travel & Leisure";"0.51";"Singapore"
"AHHAP.PFD";"Accredited Mortgage Loan REIT Trust";"Real Estate";"REITs";"0.71";"USA"
"ACSYF";"Accsys Technologies PLC";"Basic Materials";"Forest Products";"2.1";"UK"
"ACCCF";"Accton Technology Corp";"Technology";"Hardware";"7.4";"Taiwan"
"ACTZF";"Accton Technology Corp";"Technology";"Hardware";"1.2";"Taiwan"
"ARAY";"Accuray Inc";"Healthcare";"Medical Devices & Instruments";"3.97";"USA"
"ACW";"Accuride Corp";"Consumer Cyclical";"Vehicles & Parts";"2.58";"USA"
"ACMSY";"Accustem Sciences Ltd";"Healthcare";"Medical Diagnostics & Research";"0.31";"UK"
"ACAVF";"ACE Aviation Holdings Inc";"Industrials";"Transportation";"0.12";"Canada"
"ACEVU";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.14";"USA"
"ACEV";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.87";"USA"
"ACEVW";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.61";"USA"
"ACEEU";"Ace Ethanol LLC";"Basic Materials";"Agriculture";"10000";"USA"
"ACBAU";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"10.34";"Hong Kong"
"ACBA";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"10";"Hong Kong"
"ACBAW";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"0.39";"Hong Kong"
"ACEJF";"ACEA SpA";"Utilities";"Utilities - Regulated";"23.12";"Italy"
"ACRX";"AcelRx Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"1.13";"USA"
"ACEYY";"Acer Inc";"Technology";"Hardware";"9.38";"Taiwan"
"ASIYF";"Acer Inc";"Technology";"Hardware";"15.25";"Taiwan"
"ACER";"Acer Therapeutics Inc";"Healthcare";"Biotechnology";"2.53";"USA"
"ANIOF";"Acerinox SA";"Basic Materials";"Steel";"15.3";"Spain"
"ANIOY";"Acerinox SA";"Basic Materials";"Steel";"6.78";"Spain"
"ASPCF";"Acerus Pharmaceuticals Corp";"Healthcare";"Drug Manufacturers";"0.04";NA
"ACETQ";"Aceto Corp";"Healthcare";"Drug Manufacturers";"0.11";"USA"
"AKAOQ";"Achaogen Inc";"Healthcare";"Biotechnology";"0.03";"USA"
"ANPNF";"Acheron Portfolio Corp (Luxembourg) SA";"Financial Services";"Insurance";"1.1";"Luxembourg"
"ACHV";"Achieve Life Sciences Inc";"Healthcare";"Biotechnology";"7.93";"Canada"
NA;NA;NA;NA;NA;NA
"ACHL";"Achilles Therapeutics PLC";"Healthcare";"Biotechnology";"6.49";"UK"
"ACIW";"ACI Worldwide Inc";"Technology";"Software";"32.09";"USA"
"ACACU";"Acies Acquisition Corp";"Financial Services";"Diversified Financial Services";"9";"USA"
"ACAC";"Acies Acquisition Corp";"Financial Services";"Diversified Financial Services";"8.39";"USA"
"AVHNF";"Ackermans & Van Haaren NV";"Industrials";"Construction";"163.85";"Belgium"
"AVHNY";"Ackermans & Van Haaren NV";"Industrials";"Construction";"16.1";"Belgium"
"ACKIU";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"10.22";"USA"
"ACKIT";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"9.99";"USA"
"ACKIW";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"0.48";"USA"
"AKRFF";"Ackroo Inc";"Technology";"Software";"0.13";"Canada"
"ACRS";"Aclaris Therapeutics Inc";"Healthcare";"Biotechnology";"15.4";"USA"
"ACMA";"ACM Corp";"Communication Services";"Interactive Media";"0.08";"USA"
"ACMR";"ACM Research Inc";"Technology";"Semiconductors";"88.18";"USA"
"CAUZF";"Acma Ltd";"Consumer Cyclical";"Vehicles & Parts";"0.18";"Singapore"
"ACMT";"ACMAT Corp";"Financial Services";"Insurance";"36";"USA"
"ACMTA";"ACMAT Corp";"Financial Services";"Insurance";"33";"USA"
"ACME";"ACME Communications Inc";"Communication Services";"Media - Diversified";"0.04";"USA"
"ACU";"Acme United Corp";"Consumer Defensive";"Consumer Packaged Goods";"40.28";"USA"
"ACNB";"ACNB Corp";"Financial Services";"Banks";"28.75";"USA"
