"Symbol";"Company";"Sector";"Subsector";"Price"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services";"39.44"
"ATTY";"1-800-Attorney Inc";"Industrials";"Business Services";"0"
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical";"32.3"
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"11.15"
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.85"
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"1.65"
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services";"10.02"
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services";"173.75"
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services";"1.22"
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services";"6.33"
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining";"0.1"
"RETC";"12 Retech Corp";"Technology";"Software";"0"
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services";"0.66"
"ONCP";"141 Capital Inc";"Financial Services";"Capital Markets";"0"
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education";"1.1"
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management";"7.34"
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"5.43"
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"1.11"
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management";"0.01"
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical";"2.75"
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates";"2"
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks";"8000"
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks";"10.96"
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining";"0.26"
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers";"0.07"
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services";"24.61"
"OPMZ";"1PM Industries Inc";"Consumer Defensive";"Consumer Packaged Goods";"0"
"FISB";"1st Cap Bancorp";"Financial Services";"Banks";"13.73"
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks";"11.22"
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks";"9.7"
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks";"22.11"
"FNRC";"1st NRG Corp";"Energy";"Oil & Gas";"0"
"SRCE";"1st Source Corp";"Financial Services";"Banks";"46.73"
"FSMK";"1st Summit Bancorp Johnstown Inc";"Financial Services";"Banks";"132.5"
"DIBS";"1stdibs.com Inc";"Consumer Cyclical";"Retail - Cyclical";"16.74"
"VNET";"21Vianet Group Inc";"Technology";"Software";"18.76"
"AIIFF";"2242749 Ontario Ltd";"Industrials";"Construction";"0"
"XXII";"22nd Century Group Inc";"Healthcare";"Drug Manufacturers";"3.46"
"ME";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"8.68"
"MEUSW";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"1.61"
"TWFH";"24Holdings Inc";"Industrials";"Conglomerates";"0"
"TFSVF";"24SevenOffice Group AB";"Technology";"Software";"3.22"
"ADERU";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.05"
"ADER";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.66"
"ADERW";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.95"
"ZGBEF";"2G Energy AG";"Industrials";"Industrial Products";"84"
"SYGWF";"2invest AG";"Healthcare";"Drug Manufacturers";"1.2"
"FBSBF";"2invest AG";"Healthcare";"Drug Manufacturers";"15.5"
"TWOU";"2U Inc";"Consumer Defensive";"Education";"36.68"
"SAYFF";"3 Sixty Risk Solutions Ltd";"Industrials";"Business Services";"0"
"DMTRF";"3-D Matrix Ltd";"Healthcare";"Medical Devices & Instruments";"2.56"
"TDCH";"30DC Inc";"Technology";"Software";"0"
"QFIN";"360 DigiTech Inc";"Financial Services";"Credit Services";"21.87"
"TSIOF";"361 Degrees International Ltd";"Consumer Cyclical";"Travel & Leisure";"0.43"
"KRKR";"36KR Holdings Inc";"Communication Services";"Interactive Media";"1.67"
"HHHEF";"37 Capital Inc";"Basic Materials";"Metals & Mining";"0.21"
"SCWO";"374Water Inc";"Industrials";"Industrial Products";"1.88"
"TCCC";"3CI Complete Compliance Corp";"Industrials";"Waste Management";"0"
"TOILF";"3D Oil Ltd";"Energy";"Oil & Gas";"0.04"
"DPSM";"3D Pioneer Systems Inc";"Technology";"Hardware";"2.06"
"DDD";"3D Systems Corp";"Technology";"Hardware";"30.13"
"THDS";"3Dshopping.com Inc";"Technology";"Software";"0.18"
"DDDX";"3DX Industries Inc";"Technology";"Hardware";"0.09"
"TGOPF";"3i Group PLC";"Financial Services";"Asset Management";"8.15"
"TGOPY";"3i Group PLC";"Financial Services";"Asset Management";"8.79"
"MMM";"3M Co";"Industrials";"Industrial Products";"196.17"
"PSPW";"3Power Energy Group Inc";"Utilities";"Utilities - Independent Power Producers";"0.08"
"TRSBF";"3SBio Inc";"Healthcare";"Biotechnology";NA
"FTPM";"420 Property Management Inc";"Real Estate";"Real Estate";"0"
"NCNNF";"48North Cannabis Corp";"Healthcare";"Drug Manufacturers";"0.06"
"FNINF";"49 North Resources Inc";"Financial Services";"Asset Management";"0.05"
"CATV";"4Cable TV International Inc";"Communication Services";"Media - Diversified";"0.01"
"FDMT";"4D Molecular Therapeutics Inc";"Healthcare";"Biotechnology";"30.35"
"FRPRF";"4d pharma PLC";"Healthcare";"Biotechnology";"1.21"
"LBPS";"4d pharma PLC";"Healthcare";"Biotechnology";"10.03"
"LBPSW";"4d pharma PLC";"Healthcare";"Biotechnology";"1.04"
"FDMDF";"4DMedical Ltd";"Healthcare";"Medical Devices & Instruments";"1.3"
"FRDSF";"4DS Memory Ltd";"Technology";"Semiconductors";"0.15"
"FFNTF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"1.05"
"FFVWF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"0.35"
"FUNWF";"4Fun Media SA";"Communication Services";"Media - Diversified";"1.84"
"FOREY";"4imprint Group PLC";"Communication Services";"Media - Diversified";"47.31"
"FOURQ";"4Licensing Corp";"Industrials";"Business Services";"0"
"FSCGF";"4SC AG";"Healthcare";"Biotechnology";"5.3"
"JOBS";"51job Inc";"Industrials";"Business Services";"75.28"
"WUBA";"58.com Inc";"Communication Services";"Interactive Media";"55.88"
"FVAM";"5:01 Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.87"
"BARZ";"5Barz International Inc";"Technology";"Hardware";"0"
"FNGWF";"5G Networks Ltd";"Communication Services";"Telecommunication Services";"0.76"
"FPLSF";"5N Plus Inc";"Basic Materials";"Chemicals";"2.25"
"SIXD";"6D Global Technologies Inc";"Technology";"Software";"0.15"
"SVNJ";"727 Communications Inc";"Financial Services";"Asset Management";"0.99"
"SVNTF";"79North Inc";"Basic Materials";"Metals & Mining";"0.1"
"SCPKF";"7C Solarparken AG";"Technology";"Semiconductors";"6"
"VIIAU";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.9"
"VII";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.65"
"VIIAW";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"0.6"
"EIGH";"8000 Inc";"Industrials";"Business Services";"0"
"RNWR";"808 Renewable Energy Corp";"Utilities";"Utilities - Independent Power Producers";"0.19"
"EEENF";"88 Energy Ltd";"Energy";"Oil & Gas";"0.03"
"TNGRY";"88 Energy Ltd";"Energy";"Oil & Gas";"0.02"
"EIHDF";"888 Holdings PLC";"Consumer Cyclical";"Travel & Leisure";"5.65"
"ENFAU";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"10.23"
"ENFA";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"9.87"
"ENFAW";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"1.16"
"ETNB";"89bio Inc";"Healthcare";"Biotechnology";"20.03"
"JFKKU";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.8"
"JFK";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"9"
"CAFD";"8point3 Energy Partners LP";"Utilities";"Utilities - Independent Power Producers";"12.42"
"EGHT";"8x8 Inc";"Technology";"Software";"24.02"
"NMTR";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"1.25"
"INNTW";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"0.14"
"MASS";"908 Devices Inc";"Healthcare";"Medical Devices & Instruments";"36.86"
"NNCT";"99 Cent Stuff Inc";"Consumer Defensive";"Retail - Defensive";"0.01"
"JFU";"9F Inc";"Technology";"Software";"1.99"
"ANTQ";"A A Importing Inc Co";"Consumer Cyclical";"Retail - Cyclical";"0.02"
"AISSF";"A I S Resources Ltd";"Basic Materials";"Metals & Mining";"0.05"
"AWRRF";"A&W Revenue Royalties Income Fund";"Consumer Cyclical";"Restaurants";"29.51"
"APCDF";"A-Cap Energy Ltd";"Basic Materials";"Metals & Mining";"0.03"
"AMRK";"A-Mark Precious Metals Inc";"Financial Services";"Capital Markets";"48.58"
"ASNCF";"A-Sonic Aerospace Ltd";"Industrials";"Transportation";"0.24"
"AMKAF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2596"
"AMKBF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2782.35"
"AMKBY";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"14.57"
"SRIOF";"A. Soriano Corp";"Industrials";"Business Services";"0.13"
"ARRMF";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";"0"
"OSTLY";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";"0.3"
"CTAM";"A.M. Castle & Co";"Industrials";"Industrial Distribution";"5.5"
"AOS";"A.O. Smith Corp";"Industrials";"Industrial Products";"72.94"
"ASRAF";"A.S. Roma SpA";"Consumer Cyclical";"Travel & Leisure";"0.6"
"AWON";"A1 Group Inc";"Consumer Cyclical";"Retail - Cyclical";"0.02"
"ATEN";"A10 Networks Inc";"Technology";"Software";"14.06"
"AEMMF";"A2A SpA";"Utilities";"Utilities - Regulated";"1.05"
"AEMMY";"A2A SpA";"Utilities";"Utilities - Regulated";"10"
"CBRGF";"A2B Australia Ltd";"Technology";"Software";"1.98"
"CGAAY";"A2B Australia Ltd";"Technology";"Software";"1.81"
"AAZZD";"A2Z Smart Technologies Corp";"Industrials";"Aerospace & Defense";"5.24"
"AATDF";"AA PLC";"Consumer Cyclical";"Personal Services";"0.4"
"AAAG";"AAA Century Group USA Inc";"Financial Services";"Capital Markets";"0.42"
"ACCMF";"AAC Clyde Space AB";"Technology";"Hardware";"0.36"
"AACH";"AAC Holdings Inc";"Healthcare";"Healthcare Providers & Services";"0.03"
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.42"
"AACAY";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.45"
"AAGEF";"AAG Energy Holdings Ltd";"Energy";"Oil & Gas";"0.17"
"ARHUF";"AAK AB";"Consumer Defensive";"Consumer Packaged Goods";"18.75"
"AAIDY";"Aalberts NV";"Industrials";"Industrial Products";"1.69"
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";"61.55"
"AAXT";"Aamaxan Transport Group Inc";"Financial Services";"Diversified Financial Services";"0"
"AAON";"AAON Inc";"Industrials";"Construction";"69.2"
"AAPJ";"AAP Inc";"Technology";"Hardware";"0.07"
"AAHTF";"Aapico Hitech PLC";"Consumer Cyclical";"Vehicles & Parts";"0.53"
"AIR";"AAR Corp";"Industrials";"Aerospace & Defense";"33.8"
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";"24.5"
"AAALY";"Aareal Bank AG";"Financial Services";"Banks";"27.78"
"ABTBF";"AB Biotics";"Healthcare";"Biotechnology";"1.75"
"ABDDF";"AB Dynamics PLC";"Consumer Cyclical";"Vehicles & Parts";"31.28"
"ABQQ";"AB International Group Corp";"Technology";"Software";"0.04"
"ABSCF";"AB Science";"Healthcare";"Drug Manufacturers";"16.83"
"ABTO";"AB&T Financial Corp";"Financial Services";"Banks";"0.6"
"OXFSF";"Abaco Capital PLC";"Financial Services";"Asset Management";"0.21"
"ABCFF";"Abacus Mining & Exploration Corp";"Basic Materials";"Metals & Mining";"0.1"
"ABPPF";"Abacus Property Group";"Real Estate";"REITs";"1.98"
"ABKI";"Abakan Inc";"Basic Materials";"Chemicals";"0"
"NCGOF";"Abanca Corporacion Bancaria SA";"Financial Services";"Banks";"0.77"
"ATTBF";"Abattis Bioceuticals Corp";"Healthcare";"Drug Manufacturers";"0.01"
"ABXXF";"Abaxx Technologies Inc";"Technology";"Software";"3.05"
"ABB";"ABB Ltd";"Industrials";"Industrial Products";"37.46"
"ABLZF";"ABB Ltd";"Industrials";"Industrial Products";"38.22"
"ABEYF";"Abbey PLC";"Consumer Cyclical";"Homebuilding & Construction";"20.74"
"ABT";"Abbott Laboratories";"Healthcare";"Medical Devices & Instruments";"125.94"
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";"120.57"
"ABBY";"Abby Inc";"Communication Services";"Interactive Media";"0.01"
"ABCCF";"ABC arbitrage SA";"Financial Services";"Asset Management";"8.14"
"ABCR";"ABC Records Management and Data Storage Inc";"Financial Services";"Diversified Financial Services";"0.65"
"AMKYF";"ABC-Mart Inc";"Consumer Cyclical";"Retail - Cyclical";"57.75"
"ABCZF";"Abcam PLC";"Healthcare";"Biotechnology";"20.73"
"ABCM";"Abcam PLC";"Healthcare";"Biotechnology";"20.94"
"ABCL";"AbCellera Biologics Inc";"Healthcare";"Biotechnology";"17.35"
"ABCE";"ABCO Energy Inc";"Technology";"Semiconductors";"0.03"
"ABMBF";"Abcourt Mines Inc";"Basic Materials";"Metals & Mining";"0.09"
"ABNAF";"Aben Resources Ltd";"Basic Materials";"Metals & Mining";"0.04"
"ABGBY";"Abengoa SA";"Industrials";"Construction";"1.06"
"ABGOF";"Abengoa SA";"Industrials";"Construction";"0.04"
"ABGOY";"Abengoa SA";"Industrials";"Construction";"0.15"
"AGOAF";"Abengoa SA";"Industrials";"Construction";"0.01"
"AGOWF";"Abengoa SA";"Industrials";"Construction";"0"
"ABEO";"Abeona Therapeutics Inc";"Healthcare";"Biotechnology";"1.28"
"ANF";"Abercrombie & Fitch Co";"Consumer Cyclical";"Retail - Cyclical";"36.52"
"FAX";"Aberdeen Asia-pacific Income Fund Inc";"Financial Services";"Asset Management";"4.24"
"ABAKF";"Aberdeen Asia-Pacific Income Investment Co Ltd";"Financial Services";"Asset Management";"2.4"
"ABDNF";"Aberdeen Asset Management PLC";"Financial Services";"Asset Management";"4.35"
"IAF";"Aberdeen Australia Equity Fund Inc";"Financial Services";"Asset Management";NA
"ABE";"Aberdeen Emerging Markets Company Opportunities Fu";"Financial Services";"Asset Management";"14.7"
"AEF";"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.";"Financial Services";"Asset Management";"8.67"
"AGD";"Aberdeen Global Dynamic Dividend Fund";"Financial Services";"Asset Management";"12.34"
"FCO";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";"8.69"
"ASGI";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";"20.78"
"AWP";"Aberdeen Global Premier Properties Fund";"Financial Services";"Asset Management";"6.7"
"ACP";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";"11.32"
"ACPPA.PFD";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";"26.81"
"IF";"Aberdeen Indonesia Fund, Inc";"Financial Services";"Asset Management";"7.13"
"AABVF";"Aberdeen International Inc";"Financial Services";"Asset Management";"0.13"
"ISL";"Aberdeen Israel Fund Inc";"Financial Services";"Asset Management";"18.68"
"JEQ";"Aberdeen Japan Equity Fund Inc";"Financial Services";"Asset Management";"9.21"
"LAQ";"Aberdeen Latin America Equity Fund Inc";"Financial Services";"Asset Management";"26.38"
"ABDTF";"Aberdeen New Dawn Investment Trust PLC";"Financial Services";"Asset Management";"2.52"
"SGF";"Aberdeen Singapore Fund Inc";"Financial Services";"Asset Management";"13.59"
"AOD";"Aberdeen Total Dynamic Dividend Fund";"Financial Services";"Asset Management";"10.41"
"ABFOF";"Abertis Infraestructuras SA";"Industrials";"Construction";"0"
"ABGI";"ABG Acquisition Corp I";"Financial Services";"Diversified Financial Services";"9.62"
"ABGSF";"ABG Sundal Collier Holding ASA";"Financial Services";"Capital Markets";"1.65"
"WOIIF";"Abilene Oil and Gas Ltd";"Energy";"Oil & Gas";"0"
"ABILF";"Ability Inc";"Technology";"Hardware";"0.41"
"ABIZF";"Abington Resources Ltd";"Energy";"Oil & Gas";"0"
"ABMD";"Abiomed Inc";"Healthcare";"Medical Devices & Instruments";"360.96"
"THRPF";"Abionyx Pharma";"Healthcare";"Biotechnology";"0.23"
"AIBIF";"Abitibi Mining Corp";"Basic Materials";"Metals & Mining";"0"
"ATBYF";"Abitibi Royalties Inc";"Basic Materials";"Metals & Mining";"16.01"
"AAVXF";"Abivax SA";"Healthcare";"Biotechnology";"35.27"
"NEVPF";"Abliva AB";"Healthcare";"Biotechnology";"0.1"
"ABLYF";"Ablynx NV";"Healthcare";"Biotechnology";"50.63"
"ABM";"ABM Industries Inc";"Industrials";"Business Services";"49.14"
"ABNRY";"ABN AMRO Bank NV";"Financial Services";"Banks";"10.46"
"ABMRF";"ABN AMRO Bank NV";"Financial Services";"Banks";"13.9"
"AAVMY";"ABN AMRO Bank NV";"Financial Services";"Banks";"13.67"
"ABTZY";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";"8.04"
"ABOIF";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";"0.77"
"ABZPF";"Aboitiz Power Corp";"Utilities";"Utilities - Regulated";"0.51"
"ABZPY";"Aboitiz Power Corp";"Utilities";"Utilities - Regulated";"9.82"
"BBYLF";"Abra Information Technologies Ltd";"Technology";"Software";"1.02"
"AMIUF";"Abra Mining & Industrial Corp";"Basic Materials";"Metals & Mining";"0"
"ABBRF";"Abrasilver Resource Corp";"Basic Materials";"Metals & Mining";"0.37"
"AXAS";"Abraxas Petroleum Corp";"Energy";"Oil & Gas";"2.05"
"SLFPF";"Abrdn PLC";"Financial Services";"Asset Management";"3.67"
"SLFPY";"Abrdn PLC";"Financial Services";"Asset Management";"15.03"
"ASPAU";"Abri SPAC I Inc";"Financial Services";"Diversified Financial Services";"10.07"
"ABSOF";"ABS-CBN Holdings Corp";"Financial Services";"Capital Markets";"0.2"
"AGRPF";"Absa Group Ltd";"Financial Services";"Banks";"11.6"
"AGRPY";"Absa Group Ltd";"Financial Services";"Banks";"20.76"
"ABSI";"Absci Corp";"Healthcare";"Biotechnology";"18.21"
"ASCN";"Absecon Bancorp";"Financial Services";"Banks";"80"
"AHFI";"Absolute Health and Fitness Inc";"Consumer Cyclical";"Travel & Leisure";"0.3"
"ABSTF";"Absolute Invest AG";"Financial Services";"Asset Management";"28.2"
"ABST";"Absolute Software Corp";"Technology";"Software";"12.08"
"ABHD";"Abtech Holdings Inc";"Industrials";"Industrial Products";"1.08"
"ABVN";"ABV Consulting Inc";"Financial Services";"Diversified Financial Services";"0.5"
"ABVC";"ABVC BioPharma Inc";"Healthcare";"Biotechnology";"3.18"
"ABZUF";"Abzu Gold Ltd";"Basic Materials";"Metals & Mining";"0"
"ACPIF";"AC Energy Corp";"Utilities";"Utilities - Independent Power Producers";"0.03"
"ACIU";"AC Immune SA";"Healthcare";"Biotechnology";"6.99"
"ACPS";"AC Partners Inc";"Industrials";"Construction";"62.5"
"ACSX";"AC Simmonds and Sons Inc";"Industrials";"Conglomerates";"10.25"
"ACCA";"Acacia Diversified Holdings Inc";"Healthcare";"Drug Manufacturers";"0.01"
"ABGLY";"Acacia Mining PLC";"Basic Materials";"Metals & Mining";"5"
"ACTG";"Acacia Research Corp";"Industrials";"Business Services";"5.89"
"URGYF";"Academy Metals Inc";"Basic Materials";"Metals & Mining";"0.45"
"ASO";"Academy Sports and Outdoors Inc";"Consumer Cyclical";"Retail - Cyclical";"43.4"
"ACHC";"Acadia Healthcare Co Inc";"Healthcare";"Healthcare Providers & Services";"66.3"
"ACAD";"ACADIA Pharmaceuticals Inc";"Healthcare";"Biotechnology";"16.97"
"AKR";"Acadia Realty Trust";"Real Estate";"REITs";"21.23"
"ACAZF";"Acadian Timber Corp";"Basic Materials";"Forest Products";"14.76"
"ACAMU";"Acamar Partners Acquisition Corp";"Financial Services";"Diversified Financial Services";"12.94"
"ACAM";"Acamar Partners Acquisition Corp";"Financial Services";"Diversified Financial Services";"12.3"
"ATHVF";"Acanthe Developpement SA";"Real Estate";"REITs";"0.88"
"ACST";"Acasti Pharma Inc";"Healthcare";"Biotechnology";"3.21"
"CAVG";"ACC Aviation Holdings Ltd";"Healthcare";"Drug Manufacturers";"0.28"
"ACLP";"Accel Brands Inc";"Healthcare";"Medical Diagnostics & Research";"0"
"ACEL";"Accel Entertainment Inc";"Consumer Cyclical";"Travel & Leisure";"11.52"
"ACNV";"Accelera Innovations Inc";"Healthcare";"Healthcare Providers & Services";"0"
"AAQC.U";"Accelerate Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.9"
"AAQC";"Accelerate Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.64"
"AXDX";"Accelerate Diagnostics Inc";"Healthcare";"Medical Diagnostics & Research";"6.21"
"ATHC";"Accelerated Technologies Holding Corp";"Technology";"Software";"0.4"
"XLRN";"Acceleron Pharma Inc";"Healthcare";"Biotechnology";"132.76"
"ACWRF";"Acceleware Ltd";"Technology";"Software";"0.24"
"ACGPF";"Accell Group NV";"Consumer Cyclical";"Travel & Leisure";"49.85"
"ABPI";"Accentia Biopharmaceuticals Inc";"Healthcare";"Biotechnology";"0"
"ACN";"Accenture PLC";"Technology";"Software";"337"
"AICIQ";"Acceptance Insurance Companies Inc";"Financial Services";"Insurance";"0"
"ACSBL";"Access Bank PLC";"Financial Services";"Banks";"0.08"
"AIEDF";"Access International Education Ltd";"Consumer Defensive";"Education";"0.23"
"AWWC";"Access Worldwide Communications Inc";"Industrials";"Business Services";"0"
"ACCR";"Access-Power &amp Co Inc";"Communication Services";"Telecommunication Services";NA
"LOQPF";"accesso Technology Group PLC";"Technology";"Software";"9.55"
"ACXIF";"Acciona SA";"Industrials";"Construction";"164"
"ACCO";"ACCO Brands Corp";"Industrials";"Industrial Products";"9.25"
"ACCD";"Accolade Inc";"Healthcare";"Healthcare Providers & Services";"47.22"
"ACMM";"Accom Inc";"Consumer Cyclical";"Travel & Leisure";"0"
"ACCYY";"Accor SA";"Consumer Cyclical";"Travel & Leisure";"6.79"
"ACRFF";"Accor SA";"Consumer Cyclical";"Travel & Leisure";"34.42"
"ACCFF";"Accord Financial Corp";"Financial Services";"Credit Services";"7.41"
"ACGFF";"Accordia Golf Co Ltd";"Consumer Cyclical";"Travel & Leisure";"10"
"ACGFY";"Accordia Golf Co Ltd";"Consumer Cyclical";"Travel & Leisure";"10.79"
"ACFFF";"Accordia Golf Trust";"Consumer Cyclical";"Travel & Leisure";"0.51"
"AHHAP.PFD";"Accredited Mortgage Loan REIT Trust";"Real Estate";"REITs";"0.71"
"ACSYF";"Accsys Technologies PLC";"Basic Materials";"Forest Products";"2.1"
"ACCCF";"Accton Technology Corp";"Technology";"Hardware";"7.4"
"ACTZF";"Accton Technology Corp";"Technology";"Hardware";"1.2"
"ARAY";"Accuray Inc";"Healthcare";"Medical Devices & Instruments";"3.97"
"ACW";"Accuride Corp";"Consumer Cyclical";"Vehicles & Parts";"2.58"
"ACMSY";"Accustem Sciences Ltd";"Healthcare";"Medical Diagnostics & Research";"0.31"
"ACAVF";"ACE Aviation Holdings Inc";"Industrials";"Transportation";"0.12"
"ACEVU";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.14"
"ACEV";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.87"
"ACEVW";"ACE Convergence Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.61"
"ACEEU";"Ace Ethanol LLC";"Basic Materials";"Agriculture";"10000"
"ACBAU";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"10.34"
"ACBA";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"10"
"ACBAW";"Ace Global Business Acquisition Ltd";"Financial Services";"Diversified Financial Services";"0.39"
"ACEJF";"ACEA SpA";"Utilities";"Utilities - Regulated";"23.12"
"ACRX";"AcelRx Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"1.13"
"ACEYY";"Acer Inc";"Technology";"Hardware";"9.38"
"ASIYF";"Acer Inc";"Technology";"Hardware";"15.25"
"ACER";"Acer Therapeutics Inc";"Healthcare";"Biotechnology";"2.53"
"ANIOF";"Acerinox SA";"Basic Materials";"Steel";"15.3"
"ANIOY";"Acerinox SA";"Basic Materials";"Steel";"6.78"
"ASPCF";"Acerus Pharmaceuticals Corp";"Healthcare";"Drug Manufacturers";"0.04"
"ACETQ";"Aceto Corp";"Healthcare";"Drug Manufacturers";"0.11"
"AKAOQ";"Achaogen Inc";"Healthcare";"Biotechnology";"0.03"
"ANPNF";"Acheron Portfolio Corp (Luxembourg) SA";"Financial Services";"Insurance";"1.1"
"ACHV";"Achieve Life Sciences Inc";"Healthcare";"Biotechnology";"7.93"
"ACHKF";"Achiko Ltd";"Technology";"Software";NA
"ACHL";"Achilles Therapeutics PLC";"Healthcare";"Biotechnology";"6.49"
"ACIW";"ACI Worldwide Inc";"Technology";"Software";"32.09"
"ACACU";"Acies Acquisition Corp";"Financial Services";"Diversified Financial Services";"9"
"ACAC";"Acies Acquisition Corp";"Financial Services";"Diversified Financial Services";"8.39"
"AVHNF";"Ackermans & Van Haaren NV";"Industrials";"Construction";"163.85"
"AVHNY";"Ackermans & Van Haaren NV";"Industrials";"Construction";"16.1"
"ACKIU";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"10.22"
"ACKIT";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"9.99"
"ACKIW";"Ackrell SPAC Partners I Co";"Financial Services";"Diversified Financial Services";"0.48"
"AKRFF";"Ackroo Inc";"Technology";"Software";"0.13"
"ACRS";"Aclaris Therapeutics Inc";"Healthcare";"Biotechnology";"15.4"
"ACMA";"ACM Corp";"Communication Services";"Interactive Media";"0.08"
"ACMR";"ACM Research Inc";"Technology";"Semiconductors";"88.18"
"CAUZF";"Acma Ltd";"Consumer Cyclical";"Vehicles & Parts";"0.18"
"ACMT";"ACMAT Corp";"Financial Services";"Insurance";"36"
"ACMTA";"ACMAT Corp";"Financial Services";"Insurance";"33"
"ACME";"ACME Communications Inc";"Communication Services";"Media - Diversified";"0.04"
"ACU";"Acme United Corp";"Consumer Defensive";"Consumer Packaged Goods";"40.28"
"ACNB";"ACNB Corp";"Financial Services";"Banks";"28.75"
"ACJJF";"Acom Co Ltd";"Financial Services";"Credit Services";"3.6"
"ACMUY";"Acom Co Ltd";"Financial Services";"Credit Services";"1"
"STWOU";"ACON S2 Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.1"
"STWO";"ACON S2 Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.91"
"STWOW";"ACON S2 Acquisition Corp";"Financial Services";"Diversified Financial Services";"1.22"
