"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"CRNT";"Ceragon Networks Ltd";"Technology";"Hardware";3,89;"Israel";705461;-0,09;"0.15";"0.19";"0.28";"-0.03";"-0.21";NA;"8.00";"8.00";"6.00";"3.00";"3.00";5;NA;5,14;4,79;5,69;1,93;NA;0,27;NA
"CROMF";"Crombie Real Estate Investment Trust";"Real Estate";"REITs";14;"Canada";5738;-0,27;NA;"0.16";"-0.13";"0.05";"-0.36";NA;"5.00";"4.00";"3.00";"4.00";"4.00";4;NA;1,95;1,79;1,68;1,87;1,77;1,84;NA
"CROX";"Crocs Inc";"Consumer Cyclical";"Manufacturing - Apparel & Accessories";146,4;"USA";1084367;10;"-0.43";"-0.07";"-1.01";"1.66";"4.56";NA;"7.00";"8.00";"7.00";"4.00";"7.00";7;NA;NA;26,03;68,19;14,9;34,89;31,31;NA
"CRPJY";"China Resources Power Holdings Co Ltd";"Utilities";"Utilities - Independent Power Producers";33,77;"Hong Kong";682;3,05;"3.11";"1.86";"1.59";"2.63";"3.06";NA;"5.00";"5.00";"6.00";"6.00";"7.00";7;NA;4,97;3,38;3,24;3,86;4,54;4,25;NA
"CRTO";"Criteo SA";"Communication Services";"Media - Diversified";38,3;"France";367284;1,4;"1.25";"1.34";"1.31";"1.38";"1.16";NA;"6.00";"5.00";"6.00";"7.00";"6.00";7;NA;106,71;56,06;81,91;80,42;45,71;38,99;NA
"CRY";"Cryolife Inc";"Healthcare";"Medical Devices & Instruments";25,75;"USA";115065;-0,31;"0.32";"0.11";"-0.08";"0.05";"-0.44";NA;"6.00";"4.00";"4.00";"6.00";"3.00";4;NA;4,57;1,63;0,59;1,14;0,15;0,27;NA
"CRYCY";"China Railway Signal & Communication Corp Ltd";"Industrials";"Transportation";3,55;"China";1902;0,5;"0.51";"0.58";"0.55";"0.54";"0.52";NA;"3.00";"4.00";"2.00";"4.00";"3.00";3;NA;117,98;83,27;32,67;37,04;106,71;126,77;NA
"CSAN";"Cosan SA";"Energy";"Oil & Gas";17,03;"Brazil";207917;1,12;"0.74";"0.97";"1.06";"1.49";"0.43";NA;"8.00";"5.00";"7.00";"7.00";"4.00";5;NA;1,04;0,98;1,34;2,33;1,55;1,61;NA
"CSCHF";"China Renaissance Holdings Ltd";"Financial Services";"Capital Markets";2,6;"China";22004;0,55;"0.06";NA;"-0.75";"0.07";"0.30";NA;"N/A";"3.00";"4.00";"3.00";"6.00";6;NA;NA;NA;2,07;29,33;15,07;2,14;NA
"CSFFF";"Capstone Mining Corp";"Basic Materials";"Metals & Mining";4,35;"Canada";34930;0,44;"-0.37";"0.14";"-0.06";"-0.04";"0.03";NA;"5.00";"8.00";"4.00";"6.00";"7.00";7;NA;2,41;4,38;3,48;0,85;2,53;12,68;NA
"CSGP";"CoStar Group Inc";"Real Estate";"Real Estate";83,99;"USA";1658946;0,59;"0.26";"0.37";"0.65";"0.86";"0.59";NA;"8.00";"7.00";"5.00";"6.00";"6.00";5;NA;14,47;19,28;96,67;139,02;16,63;11,3;NA
"CSGS";"CSG Systems International Inc";"Technology";"Software";48,31;"USA";118091;2,04;"1.90";"1.87";"2.01";"2.55";"1.82";NA;"7.00";"6.00";"6.00";"6.00";"6.00";6;NA;6,3;5,85;5,59;6,37;6;7,68;NA
"CSIQ";"Canadian Solar Inc";"Technology";"Semiconductors";37,37;"Canada";1187073;0,8;"1.12";"1.69";"3.88";"2.83";"2.38";NA;"4.00";"6.00";"7.00";"7.00";"3.00";3;NA;0,77;1,93;3,12;3,18;3,05;1,78;NA
