"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"A";"Agilent Technologies Inc";"Healthcare";"Medical Diagnostics & Research";176,73;"USA";1669991;3,2;"1.40";"2.10";"0.97";"3.37";"2.30";NA;"8.00";"8.00";"7.00";"6.00";"5.00";7;NA;8,54;10,22;12,05;12,72;10,85;16;NA
"AA";"Alcoa Corp";"Basic Materials";"Metals & Mining";44,05;"USA";7625793;2,28;"-2.19";"1.49";"1.33";"-6.07";"-0.91";NA;"3.00";"8.00";"6.00";"3.00";"4.00";6;NA;0,87;15,6;18,23;6,05;2,93;9,83;NA
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";5,42;"Hong Kong";3900;0,19;"0.47";"0.66";"0.45";"0.26";"0.19";NA;"8.00";"5.00";"5.00";"6.00";"5.00";5;NA;67,56;36,92;19,57;9,96;3,99;5,28;NA
"AAGIY";"AIA Group Ltd";"Financial Services";"Insurance";48,21;"Hong Kong";244673;2,28;"1.40";"2.04";"1.04";"2.00";"1.92";NA;"7.00";"6.00";"1.00";"5.00";"3.00";3;NA;33,28;40,27;NA;25,9;25,31;22,51;NA
"AAGRY";"Astra Agro Lestari Tbk";"Consumer Defensive";"Consumer Packaged Goods";2,63;"Indonesia";390;0,2;"0.42";"0.38";"0.26";"0.04";"0.15";NA;"7.00";"6.00";"5.00";"5.00";"9.00";8;NA;23,24;31,81;10,22;2,86;4,71;10,61;NA
"AAL";"American Airlines Group Inc";"Industrials";"Transportation";19,51;"USA";31831201;-10,46;"4.65";"2.61";"3.03";"3.79";"-18.36";NA;"5.00";"6.00";"6.00";"7.00";"2.00";2;NA;5,82;4,57;3,26;3,38;NA;0;NA
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";61,55;"Netherlands";1085;2,17;"1.74";"2.19";"2.45";"2.26";"1.29";NA;"7.00";"8.00";"8.00";"4.00";"5.00";5;NA;13,61;15,32;16,78;12,73;11,56;29,45;NA
"AAME";"Atlantic American Corp";"Financial Services";"Insurance";3,87;"USA";89501;0,74;"0.11";"0.20";"-0.05";"-0.04";"0.56";NA;"5.00";"8.00";"4.00";"5.00";"6.00";7;NA;3,26;4,11;0,52;0,81;10,63;11,82;NA
"AANNF";"Aroundtown SA";"Real Estate";"Real Estate";7,85;"Luxembourg";6117;0,46;"0.92";"1.60";"1.70";"1.23";"0.60";NA;"3.00";"5.00";"4.00";"5.00";"5.00";5;NA;4,02;5,24;4,41;4,51;3,42;3,71;NA
"AAP";"Advance Auto Parts Inc";"Consumer Cyclical";"Retail - Cyclical";201,14;"USA";574298;9,33;"6.20";"6.42";"5.73";"6.84";"7.14";NA;"5.00";"6.00";"8.00";"5.00";"6.00";8;NA;13,15;9,7;10,68;16,97;15,99;29,49;NA
"AAT";"American Assets Trust Inc";"Real Estate";"REITs";39,4;"USA";257332;0,3;"0.72";"0.62";"0.42";"0.84";"0.46";NA;"5.00";"5.00";"5.00";"8.00";"5.00";4;NA;1,89;1,74;1,52;2,1;1,66;1,78;NA
"AAUKF";"Anglo American PLC";"Basic Materials";"Metals & Mining";42,55;"UK";2459;5,42;"1.23";"2.45";"2.74";"2.76";"1.67";NA;"7.00";"8.00";"6.00";"6.00";"5.00";5;NA;6,86;7,69;7,99;9,51;11,96;NA;NA
"AAVVF";"Advantage Energy Ltd";"Energy";"Oil & Gas";4,1;"Canada";24047;0,05;"-0.07";"0.39";"0.05";"-0.10";"-1.18";NA;"4.00";"7.00";"4.00";"5.00";"5.00";7;NA;0,29;5,59;0,87;1,49;0,62;5,97;NA
"AAWW";"Atlas Air Worldwide Holdings Inc";"Industrials";"Transportation";73,48;"USA";350664;15,51;"1.65";"8.64";"5.22";"-11.35";"13.50";NA;"6.00";"7.00";"6.00";"4.00";"8.00";7;NA;2,47;2,67;2,57;1,58;4,45;6,37;NA
"ABANF";"Automated Bank Services Ltd";"Technology";"Software";5,61;"Israel";1615;0,3;"1.09";"0.14";"0.11";"0.23";"0.21";NA;"N/A";"7.00";"6.00";"5.00";"5.00";5;NA;116,05;104,42;217,11;90,55;101,37;107,57;NA
"ABB";"ABB Ltd";"Industrials";"Industrial Products";37,46;"Switzerland";1209059;2,72;"0.88";"1.03";"1.02";"0.67";"2.43";NA;"6.00";"6.00";"6.00";"5.00";"5.00";6;NA;10,12;8,84;8,02;10,52;8,36;50,12;NA
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";120,57;"USA";7235133;3,71;"3.63";"3.30";"3.66";"5.28";"2.72";NA;"6.00";"5.00";"7.00";"8.00";"4.00";5;NA;9,11;8,58;5,05;7,49;5,12;7,38;NA
"ABC";"AmerisourceBergen Corp";"Healthcare";"Medical Distribution";119,52;"USA";812622;-18,43;"6.32";"1.64";"7.53";"4.04";"-16.65";NA;"6.00";"7.00";"6.00";"8.00";"6.00";4;NA;12,59;13,55;9,66;10,29;12,83;15,99;NA
"ABEV";"Ambev SA";"Consumer Defensive";"Beverages - Alcoholic";3,27;"Brazil";24619048;0,18;"0.24";"0.14";"0.18";"0.18";"0.14";NA;"3.00";"5.00";"7.00";"4.00";"6.00";7;NA;6,86;7,7;9,78;8,9;7,6;9,56;NA
"ABG";"Asbury Automotive Group Inc";"Consumer Cyclical";"Vehicles & Parts";185,62;"USA";148555;22,13;"7.40";"6.62";"8.28";"9.55";"13.18";NA;"5.00";"7.00";"6.00";"7.00";"6.00";6;NA;3,94;3,73;3,65;3,58;5,29;12,33;NA
"ABGSF";"ABG Sundal Collier Holding ASA";"Financial Services";"Capital Markets";1,65;"Norway";984;0,16;"0.05";"0.06";"0.04";"0.05";"0.09";NA;"5.00";"7.00";"3.00";"5.00";"7.00";7;NA;16,23;14,13;7,85;11,82;15,83;79,73;NA
"ABM";"ABM Industries Inc";"Industrials";"Business Services";49,14;"USA";487594;2,14;"1.01";"0.07";"1.47";"1.90";NA;NA;"6.00";"3.00";"5.00";"6.00";"5.00";5;NA;10,21;5,43;3,53;4,3;6,19;0;NA
"ABMAF";"Albioma";"Utilities";"Utilities - Independent Power Producers";40,01;"France";647;2,03;"1.17";"1.47";"1.64";"1.55";"2.09";NA;"7.00";"4.00";"6.00";"6.00";"6.00";6;NA;2,88;3,11;4,5;3,39;3,76;3,42;NA
"ABSSF";"AirBoss of America Corp";"Basic Materials";"Chemicals";30,5;"Canada";1111;1,95;"0.59";"0.54";"0.37";"0.44";"1.35";NA;"6.00";"5.00";"6.00";"5.00";"7.00";7;NA;6,82;6,61;5,04;4,79;24,41;17,71;NA
"ABT";"Abbott Laboratories";"Healthcare";"Medical Devices & Instruments";125,94;"USA";4207901;3,55;"0.94";"0.27";"1.33";"2.06";"2.50";NA;"6.00";"5.00";"6.00";"7.00";"6.00";7;NA;7,02;1,73;4,42;6,76;9,81;10,39;NA
"ABTZY";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";8,04;"Philippines";285;0,92;"0.80";"0.77";"0.79";"0.78";"0.55";NA;"5.00";"4.00";"6.00";"4.00";"6.00";7;NA;3,02;2,8;2,68;1,93;1,76;1,58;NA
"ACA";"Arcosa Inc";"Industrials";"Construction";51,49;"USA";257806;1,6;"2.52";"1.84";"1.54";"2.32";"2.18";NA;"N/A";"N/A";"N/A";"7.00";"6.00";3;NA;NA;NA;131,22;22,49;14,99;4,74;NA
"ACAZF";"Acadian Timber Corp";"Basic Materials";"Forest Products";14,76;"Canada";2499;1,51;"0.72";"1.44";"1.17";"0.79";"1.03";NA;"7.00";"5.00";"4.00";"4.00";"6.00";6;NA;7,38;7,16;5,39;5,38;4,82;5,18;NA
"ACC";"American Campus Communities Inc";"Real Estate";"REITs";51,02;"USA";691420;0,07;"0.75";"0.50";"0.84";"0.60";"0.51";NA;"6.00";"5.00";"5.00";"5.00";"4.00";4;NA;2,26;2,22;1,72;1,77;1,23;0,66;NA
"ACCO";"ACCO Brands Corp";"Industrials";"Industrial Products";9,25;"USA";348913;0,8;"0.87";"1.19";"1.00";"1.06";"0.65";NA;"7.00";"7.00";"5.00";"7.00";"4.00";4;NA;3,34;5,02;4,82;4,82;3,18;3,91;NA
"ACCYY";"Accor SA";"Consumer Cyclical";"Travel & Leisure";6,79;"France";53591;-0,44;"0.19";"0.34";"1.73";"0.34";"-1.88";NA;"7.00";"6.00";"6.00";"7.00";"3.00";3;NA;4,39;5,3;8,82;6,94;NA;0;NA
"ACDSF";"Ascendas Real Estate Investment Trust";"Real Estate";"REITs";2,31;"Singapore";16863;0,1;"0.09";"0.11";"0.12";"0.12";"0.09";NA;"5.00";"6.00";"6.00";"7.00";"6.00";6;NA;5,04;5,52;5,37;4,78;4,63;5,56;NA
"ACDVF";"Air Canada";"Industrials";"Transportation";19,35;"Canada";104833;-10,6;"2.32";"5.73";"0.10";"4.13";"-12.86";NA;"6.00";"5.00";"6.00";"7.00";"2.00";1;NA;4,54;5,09;2,81;3,44;NA;0;NA
"ACEJF";"ACEA SpA";"Utilities";"Utilities - Regulated";23,12;"Italy";200;1,68;"1.30";"1.00";"1.45";"1.48";"1.63";NA;"8.00";"4.00";"8.00";"6.00";"6.00";7;NA;4,05;4,32;5,96;6,3;7,45;6,83;NA
"ACEYY";"Acer Inc";"Technology";"Hardware";9,38;"Taiwan";125;0,58;"-0.25";"0.16";"0.16";"0.14";"0.35";NA;"5.00";"5.00";"5.00";"3.00";"7.00";5;NA;4,77;16,25;21,33;16,26;57,54;58,13;NA
"ACGL";"Arch Capital Group Ltd";"Financial Services";"Insurance";41,25;"Bermuda";1653288;4,98;"1.78";"1.36";"1.73";"3.87";"3.32";NA;"7.00";"5.00";"8.00";"8.00";"5.00";9;NA;13,91;7,45;7,99;16,3;12;10,09;NA
"ACGPF";"Accell Group NV";"Consumer Cyclical";"Travel & Leisure";49,85;"Netherlands";279;3,62;"1.27";"0.46";"0.87";"0.11";"2.93";NA;"5.00";"4.00";"8.00";"3.00";"6.00";6;NA;8,14;5,5;7,08;5,09;4,22;10,27;NA
"ACGYF";"Subsea 7 SA";"Energy";"Oil & Gas";7,7;"UK";377;-0,51;"1.27";"1.36";"0.56";"-0.27";"-3.67";NA;"7.00";"6.00";"6.00";"3.00";"5.00";7;NA;85,08;29,56;14,59;3,08;NA;0;NA
"ACH";"Aluminum Corporation of China Ltd";"Basic Materials";"Metals & Mining";17,61;"China";146007;0,11;"0.06";"0.33";"0.12";"0.13";"0.11";NA;"8.00";"8.00";"4.00";"5.00";"7.00";7;NA;1,2;1,53;1,34;1,29;1,69;2,7;NA
"ACHC";"Acadia Healthcare Co Inc";"Healthcare";"Healthcare Providers & Services";66,3;"USA";351579;-7,89;"0.07";"2.30";"-2.01";"1.24";"-7.65";NA;"5.00";"8.00";"3.00";"7.00";"5.00";6;NA;2,45;2,49;1,66;1,68;2,1;6,39;NA
"ACIW";"ACI Worldwide Inc";"Technology";"Software";32,09;"USA";600509;0,72;"1.09";"0.04";"0.59";"0.57";"0.62";NA;"7.00";"6.00";"9.00";"5.00";"5.00";7;NA;1,73;2,17;3,03;1,93;2,56;1,37;NA
"ACKAY";"Arcelik AS";"Technology";"Hardware";19,31;"Turkey";605;3,28;"1.12";"0.73";"0.73";"0.80";"2.45";NA;"8.00";"5.00";"6.00";"6.00";"8.00";7;NA;2,55;2,56;1,97;1,31;2,7;2,5;NA
"ACLLF";"Atco Ltd";"Utilities";"Utilities - Regulated";33,8;"Canada";4485;1,46;"2.22";"1.50";"2.13";"3.39";"1.72";NA;"7.00";"5.00";"6.00";"7.00";"5.00";6;NA;3,24;2,97;2,32;2,66;2,42;1,23;NA
"ACLS";"Axcelis Technologies Inc";"Technology";"Semiconductors";50,9;"USA";225942;1,78;"0.36";"3.80";"1.35";"0.50";"1.46";NA;"3.00";"5.00";"7.00";"5.00";"7.00";6;NA;3,33;9,34;11,73;4,7;11,14;18,84;NA
"ACM";"AECOM";"Industrials";"Construction";66,03;"USA";650420;-0,93;"0.62";"2.13";"0.84";"-1.66";"-1.17";NA;"6.00";"7.00";"4.00";"6.00";"6.00";6;NA;2,04;2,38;1,71;2,87;3,26;1,11;NA
"ACMR";"ACM Research Inc";"Technology";"Semiconductors";88,18;"USA";431494;1,34;"0.13";"-0.05";"0.37";"0.99";"0.89";NA;"N/A";"N/A";"6.00";"5.00";"1.00";1;NA;19,28;2,53;12,99;23,88;21,89;22,32;NA
"ACN";"Accenture PLC";"Technology";"Software";337;"Ireland";1570429;8,94;"6.45";"5.44";"6.34";"7.36";"7.89";NA;"8.00";"6.00";"8.00";"8.00";"6.00";7;NA;NA;333,96;301,9;274,58;196,96;150,94;128,11
"ACSAF";"ACS Actividades de Construccion y Servicios SA";"Industrials";"Construction";26,85;"Spain";1082;2,07;"1.97";"2.41";"2.75";"3.02";"2.22";NA;"7.00";"6.00";"7.00";"1.00";"5.00";6;NA;3,43;4;5,55;5;0,49;1,16;NA
"ACU";"Acme United Corp";"Consumer Defensive";"Consumer Packaged Goods";40,28;"USA";11098;3,36;"1.64";"1.09";"1.30";"1.60";"2.31";NA;"8.00";"5.00";"6.00";"6.00";"4.00";6;NA;9,71;5,81;3,94;4,61;12,09;16,77;NA
"ACXIF";"Acciona SA";"Industrials";"Construction";164;"Spain";61;11,18;"6.51";"4.49";"6.71";"7.18";"8.48";NA;"6.00";"6.00";"7.00";"7.00";"4.00";6;NA;0,56;1,66;1,77;2,61;1,39;1,19;NA
"ACY";"AeroCentury Corp";"Industrials";"Business Services";35,67;"USA";767751;-17,57;"0.78";"5.10";"-5.58";"-10.78";"-27.33";NA;"3.00";"8.00";"3.00";"5.00";"4.00";5;NA;1,35;1,47;0,98;2,11;0,05;30,5;NA
"ADBCF";"Adbri Ltd";"Basic Materials";"Building Materials";2,73;"Australia";500;0,14;"0.21";"0.21";"0.20";"0.05";"0.11";NA;"6.00";"4.00";"5.00";"3.00";"7.00";7;NA;11,26;9,48;7,66;2,62;1,99;80,33;NA
"ADBE";"Adobe Inc";"Technology";"Software";665,99;"USA";1384896;11,54;"2.32";"3.38";"5.20";"6.00";"10.83";NA;"8.00";"8.00";"7.00";"5.00";"8.00";9;NA;21,2;29,14;31,91;20,82;36,53;53,37;NA
"ADC";"Agree Realty Corp";"Real Estate";"REITs";74,52;"USA";371606;1,63;"1.97";"2.08";"1.78";"1.93";"1.74";NA;"5.00";"5.00";"3.00";"6.00";"4.00";6;NA;3,37;3,47;3,03;3,1;3,22;3,45;NA
"ADDDF";"adidas AG";"Consumer Cyclical";"Manufacturing - Apparel & Accessories";350,08;"Germany";216;5,94;"5.26";"6.37";"9.58";"11.11";"2.69";NA;"7.00";"7.00";"8.00";"6.00";"5.00";4;NA;21,94;33,94;57,1;16,71;5,25;14,65;NA
"ADI";"Analog Devices Inc";"Technology";"Semiconductors";166,98;"USA";4527590;4,57;"2.76";"2.29";"4.00";"3.65";"3.28";NA;"6.00";"4.00";"6.00";"5.00";"6.00";8;NA;11,74;4,83;7,73;7,89;8,02;13,45;NA
"ADM";"Archer-Daniels Midland Co";"Consumer Defensive";"Consumer Packaged Goods";60,07;"USA";2250652;4,1;"2.16";"2.79";"3.19";"2.44";"3.15";NA;"3.00";"3.00";"5.00";"2.00";"5.00";6;NA;5,59;4,67;5,54;4,11;5,21;9,93;NA
"ADNT";"Adient PLC";"Consumer Cyclical";"Vehicles & Parts";40,15;"Ireland";876160;1,17;"-16.54";"9.34";"-18.06";"-5.25";"-5.83";NA;"4.00";"4.00";"5.00";"5.00";"4.00";8;NA;19,35;5,3;1,23;0,78;0,16;0,28;NA
"ADOOY";"PT Adaro Energy Tbk";"Energy";"Other Energy Sources";4,78;"Indonesia";18689;0,24;"0.49";"0.70";"0.61";"0.59";"0.21";NA;"8.00";"9.00";"5.00";"4.00";"5.00";6;NA;10,97;18,07;15,61;10,92;4,58;10,57;NA
"ADRNY";"Koninklijke Ahold Delhaize NV";"Consumer Defensive";"Retail - Defensive";33,87;"Netherlands";57659;1,32;"0.85";"1.69";"1.70";"1.77";"1.58";NA;"4.00";"5.00";"5.00";"8.00";"7.00";5;NA;5,44;7,04;4,48;4,76;4,29;6,24;NA
"ADRZY";"Andritz AG";"Industrials";"Industrial Distribution";11,34;"Austria";1406;0,62;"0.57";"0.61";"0.50";"0.28";"0.51";NA;"7.00";"5.00";"5.00";"6.00";"6.00";8;NA;9,81;6,35;7,05;4,37;8,37;14,23;NA
"ADS";"Alliance Data Systems Corp";"Financial Services";"Credit Services";94,63;"USA";660918;14,25;"7.34";"14.10";"17.49";"5.36";"4.46";NA;"6.00";"7.00";"6.00";"4.00";"5.00";5;NA;3,84;6,12;7,77;6,23;3,64;NA;NA
"ADT";"ADT Inc";"Industrials";"Business Services";8,34;"USA";1940961;-0,5;"-0.77";"0.46";"-0.81";"-0.57";"-0.82";NA;"N/A";"N/A";"5.00";"6.00";"4.00";5;NA;0,32;0,47;0,55;0,55;0,23;0,02;NA
"ADUS";"Addus HomeCare Corp";"Healthcare";"Healthcare Providers & Services";89,95;"USA";84687;2,37;"1.07";"1.03";"1.33";"1.77";"2.08";NA;"4.00";"6.00";"7.00";"5.00";"4.00";4;NA;6,64;5,1;4,55;11,19;13,96;13,51;NA
"ADVOF";"ADVA Optical Networking SE";"Technology";"Hardware";16,43;"Germany";1239;1,01;"0.45";"-0.11";"0.22";"0.16";"0.49";NA;"4.00";"4.00";"7.00";"4.00";"7.00";7;NA;42,47;4,04;9,17;4,89;10,54;20,25;NA
"ADYEY";"Adyen NV";"Technology";"Software";32,39;"Netherlands";487631;0,15;"0.03";"0.03";"0.05";"0.09";"0.10";NA;"7.00";"6.00";"6.00";"6.00";"3.00";3;NA;266,69;120,51;114,16;63,55;39,73;42,33;NA
"ADZZF";"Advance Residence Investment Corp";"Real Estate";"REITs";3394;"Japan";3;102,06;"89.74";"86.21";"92.23";"96.30";"103.73";NA;"5.00";"7.00";"7.00";"7.00";"N/A";NA;NA;NA;6,92;8,11;8,91;10,74;11,15;11,08
"AE";"Adams Resources & Energy Inc";"Energy";"Oil & Gas";30,5;"USA";10512;3,85;"0.60";"-0.11";"0.70";"1.94";"0.23";NA;"8.00";"4.00";"6.00";"6.00";"2.00";6;NA;NA;55,74;12,92;12,26;NA;31,05;NA
"AEDFF";"Aedifica SA";"Real Estate";"REITs";146;"Belgium";181;4,07;"2.99";"4.37";"4.54";"4.16";NA;NA;"4.00";"7.00";"5.00";"6.00";"1.00";1;NA;9,14;7,85;8,85;8,78;NA;6,18;NA
"AEE";"Ameren Corp";"Utilities";"Utilities - Regulated";88,49;"USA";977195;3,64;"2.68";"2.14";"3.32";"3.35";"3.50";NA;"5.00";"4.00";"5.00";"5.00";"5.00";6;NA;3,46;3,61;3,38;3,33;3,1;2,98;NA
"AEG";"Aegon NV";"Financial Services";"Insurance";4,9;"Netherlands";1528843;0,49;"0.16";"1.35";"0.33";"0.62";"-0.11";NA;"7.00";"7.00";"4.00";"6.00";"3.00";3;NA;2,76;6,83;2,47;3,83;0,28;9,93;NA
"AEGXF";"Aecon Group Inc";"Industrials";"Construction";16,43;"Canada";671;1,08;"0.58";"0.36";"0.70";"0.85";"1.01";NA;"4.00";"5.00";"5.00";"5.00";"6.00";9;NA;2,9;1,64;3,16;3,99;4,72;2,33;NA
"AEL";"American Equity Investment Life Holding Co";"Financial Services";"Insurance";31,81;"USA";311495;9,23;"0.97";"1.93";"5.01";"2.68";"6.90";NA;"4.00";"8.00";"5.00";"5.00";"8.00";8;NA;1,17;1,15;1,34;1,24;1,52;0,91;NA
"AEM";"Agnico Eagle Mines Ltd";"Basic Materials";"Metals & Mining";57,25;"Canada";1298160;3,08;"0.70";"1.04";"-1.40";"1.99";"2.10";NA;"7.00";"6.00";"2.00";"7.00";"7.00";7;NA;3,21;5,3;2,38;5,15;9,91;12,58;NA
"AENZ";"Aenza SAA";"Industrials";"Construction";1,51;"Peru";246673;-0,3;"-0.94";"0.27";"-0.15";"-1.31";"-0.30";NA;"4.00";"7.00";"6.00";"4.00";"4.00";6;NA;0,63;1,95;2,71;1,62;1,56;1,26;NA
"AEOXF";"Aeroports de Paris SA";"Industrials";"Transportation";119;"France";186;-9,79;"4.64";"6.83";"7.01";"6.61";"-14.37";NA;"5.00";"5.00";"5.00";"6.00";"4.00";4;NA;6,38;7,16;5,43;4,73;NA;0;NA
"AEP";"American Electric Power Co Inc";"Utilities";"Utilities - Regulated";89,62;"USA";2549692;4,67;"1.24";"3.88";"3.90";"3.88";"4.42";NA;"6.00";"5.00";"4.00";"4.00";"6.00";5;NA;3,91;3,78;2,8;2,56;2,56;2,69;NA
"AER";"AerCap Holdings NV";"Industrials";"Transportation";54,33;"Ireland";955489;-2,76;"5.52";"6.43";"6.83";"8.43";"-2.34";NA;"6.00";"7.00";"4.00";"9.00";"5.00";3;NA;2,11;2,11;1,98;2,05;1,77;1,71;NA
"AES";"The AES Corp";"Utilities";"Utilities - Regulated";23,98;"USA";5287133;-0,21;"-1.72";"-1.76";"1.81";"0.45";"0.07";NA;"4.00";"6.00";"7.00";"4.00";"5.00";6;NA;1,88;1,92;2,25;2,05;2,44;2,88;NA
"AETUF";"ARC Resources Ltd";"Energy";"Oil & Gas";6,94;"Canada";104510;0,38;"0.43";"0.86";"0.45";"-0.06";"-1.21";NA;"7.00";"7.00";"7.00";"4.00";"4.00";6;NA;0,9;4,66;4,61;1,93;NA;10,93;NA
"AEXAF";"Atos SE";"Technology";"Software";49,5;"France";1800;1,05;"5.85";"6.75";"6.77";"35.07";"6.14";NA;"4.00";"5.00";"4.00";"5.00";"5.00";5;NA;50,35;44,71;26,29;9,47;15,19;1,55;NA
"AFG";"American Financial Group Inc";"Financial Services";"Insurance";136,43;"USA";314812;26,33;"7.33";"5.28";"5.85";"9.85";"8.20";NA;"7.00";"4.00";"6.00";"7.00";"5.00";7;NA;11,22;9,52;11,31;17,29;10,64;13,52;NA
"AFGVY";"Agfa-Gevaert NV";"Industrials";"Industrial Products";9,19;"Belgium";100;-0,64;"0.89";"0.52";"-0.32";"-0.71";"8.91";NA;"9.00";"6.00";"1.00";"3.00";"5.00";2;NA;4,76;3,9;1,78;1,55;0,96;28;NA
"AFIN";"American Finance Trust Inc";"Real Estate";"REITs";8,64;"USA";750899;-0,31;"-0.52";"-0.47";"-0.35";"-0.03";"-0.43";NA;"N/A";"5.00";"4.00";"6.00";"4.00";5;NA;0,66;0,56;0,62;0,81;0,7;0,94;NA
"AFL";"Aflac Inc";"Financial Services";"Insurance";56,43;"USA";2795956;8,29;"3.21";"5.77";"3.77";"4.43";"6.67";NA;"8.00";"8.00";"4.00";"8.00";"7.00";8;NA;16,18;17,74;18,94;20,5;18,19;23,15;NA
"AFLYY";"Air France-KLM";"Industrials";"Transportation";4,75;"France";22726;-14,42;"2.37";"0.44";"1.05";"0.68";"-20.15";NA;"6.00";"6.00";"6.00";"6.00";"2.00";2;NA;4,14;3,46;2,49;1,8;NA;0;NA
"AG";"First Majestic Silver Corp";"Basic Materials";"Metals & Mining";12,66;"Canada";3634669;0,37;"0.05";"-0.32";"-1.11";"-0.20";"0.11";NA;"7.00";"4.00";"3.00";"5.00";"7.00";8;NA;7,89;NA;NA;1,89;3,98;5,42;NA
"AGCO";"AGCO Corp";"Industrials";"Farm & Heavy Construction Machinery";139,88;"USA";526116;9,59;"1.96";"2.32";"3.58";"1.63";"5.65";NA;"6.00";"8.00";"8.00";"7.00";"7.00";7;NA;4,62;7,71;8,2;18,73;26,26;133,95;NA
"AGESF";"Ageas SA/ NV";"Financial Services";"Insurance";54,2;"Belgium";620;4,89;"0.14";"3.66";"4.68";"5.64";"7.37";NA;"5.00";"6.00";"7.00";"6.00";"6.00";6;NA;4,64;12,31;14,38;14,52;13,99;10,52;NA
"AGFMF";"AGF Management Ltd";"Financial Services";"Asset Management";5,58;"Canada";257;1,66;"0.40";"0.50";"0.70";"0.45";"1.70";NA;"7.00";"6.00";"6.00";"4.00";"6.00";6;NA;4,53;4,25;9,28;5,15;5,74;15,85;NA
"AGFS";"AgroFresh Solutions Inc";"Consumer Defensive";"Consumer Packaged Goods";2,02;"USA";72349;-1,13;"-2.26";"0.47";"-0.60";"-1.07";"-1.26";NA;"4.00";"7.00";"4.00";"5.00";"5.00";5;NA;NA;0,39;0,2;NA;0,36;0;NA
"AGGZF";"Ag Growth International Inc";"Industrials";"Farm & Heavy Construction Machinery";23,22;"Canada";2192;0;"0.97";"1.71";"1.16";"0.59";"-2.58";NA;"6.00";"6.00";"5.00";"3.00";"3.00";4;NA;2,32;2,23;2,79;1,65;0,02;2,15;NA
"AGI";"Alamos Gold Inc";"Basic Materials";"Metals & Mining";7,8;"Canada";2579712;0,06;"-0.07";"0.09";"-0.19";"0.24";"0.37";NA;"6.00";"7.00";"3.00";"8.00";"8.00";7;NA;0,89;8,29;NA;50,4;54,44;55,8;NA
"AGMJF";"Algoma Central Corp";"Industrials";"Transportation";13;"Canada";485;1,18;"0.56";"1.08";"0.96";"0.48";"0.93";NA;"5.00";"8.00";"6.00";"6.00";"5.00";7;NA;3;14;1,9;3,11;4,05;9,33;NA
"AGO";"Assured Guaranty Ltd";"Financial Services";"Insurance";49,71;"Bermuda";339139;4,21;"6.56";"5.96";"4.68";"4.00";"4.19";NA;"4.00";"6.00";"6.00";"3.00";"4.00";3;NA;10,97;11,22;7,17;6,21;5,86;6,43;NA
"AGPIF";"Anglo Pacific Group PLC";"Basic Materials";"Steel";1,9;"UK";2765;0,02;"0.20";"0.08";"0.20";"0.21";"-0.14";NA;"7.00";"6.00";"6.00";"4.00";"4.00";4;NA;29,57;81,14;78,25;41,49;12,41;3,76;NA
"AGPPF";"Anglo American Platinum Ltd";"Basic Materials";"Metals & Mining";113,6;"South africa";191;18,7;"0.17";"0.56";"1.84";"4.88";"7.74";NA;"7.00";"7.00";"7.00";"8.00";"7.00";7;NA;3,61;6,7;14,08;45,23;86,13;448,68;NA
"AGPYF";"Agile Group Holdings Ltd";"Real Estate";"Real Estate";1,11;"China";1706;0,38;"0.09";"0.24";"0.27";"0.28";"0.37";NA;"7.00";"7.00";"5.00";"3.00";"7.00";7;NA;13,83;12,91;13,87;6,59;7,95;5,08;NA
"AGR";"Avangrid Inc";"Utilities";"Utilities - Regulated";54,75;"USA";383436;2,18;"2.04";"1.23";"1.89";"2.16";"1.88";NA;"7.00";"4.00";"5.00";"6.00";"4.00";5;NA;4,46;4,1;3,74;3,22;2,75;1,75;NA
"AGRO";"Adecoagro SA";"Consumer Defensive";"Consumer Packaged Goods";9,39;"Luxembourg";705980;0,87;"0.09";"0.11";"-0.21";"-0.01";NA;NA;"8.00";"5.00";"3.00";"6.00";"7.00";8;NA;3,66;1,56;1,04;1,77;2,66;2,34;NA
"AGRUF";"AF Gruppen ASA";"Industrials";"Construction";21,35;"Norway";4600;1,16;"0.85";"0.77";"0.91";"0.94";"1.07";NA;"7.00";"5.00";"6.00";"6.00";"5.00";6;NA;52,89;45,53;63,71;18,09;21,09;42,71;NA
"AGS";"PlayAGS Inc";"Consumer Cyclical";"Travel & Leisure";8,2;"USA";203107;-1,12;"-3.51";"-1.34";"-0.61";"-0.33";"-2.40";NA;"N/A";"5.00";"6.00";"5.00";"3.00";5;NA;NA;0,34;0,91;0,85;NA;0,65;NA
