"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"RKAGY";"Rhoen Klinikum AG";"Healthcare";"Healthcare Providers & Services";"9,5";"Germany";149;"0,13";"0.44";"0.31";"0.42";"0.36";"0.01";NA
"RKDA";"Arcadia Biosciences Inc";"Basic Materials";"Agriculture";"2,44";"USA";351876;"0,22";"-8.85";"-7.28";"-3.58";"-4.53";"-0.47";NA
"RKFL";"RocketFuel Blockchain Inc";"Technology";"Software";"1,13";"USA";22544;"-0,15";"-0.01";NA;NA;"-0.06";"-0.01";-0,1
"RKIGF";"Reko International Group Inc";"Industrials";"Industrial Products";"3,5";"Canada";750;"0,11";"0.86";"0.29";"0.24";"0.18";"0.09";NA
"RKLIF";"Rentokil Initial PLC";"Industrials";"Business Services";"7,86";"UK";2624;"0,19";"0.11";"0.50";"-0.07";"0.20";"0.13";NA
"RKUNF";"Rakuten Group Inc";"Consumer Cyclical";"Retail - Cyclical";"10,46";"Japan";6372;"-1,01";"0.23";"0.70";"0.93";"-0.22";"-0.81";NA
"RKWBF";"Rockwool International A/S";"Industrials";"Construction";"492";"Denmark";1;"16,66";"8.06";"11.55";"13.75";"14.42";"14.00";NA
"RLGY";"Realogy Holdings Corp";"Real Estate";"Real Estate";"17,61";"USA";1371237;"2,52";"1.46";"3.11";"1.09";"-1.65";"-3.13";NA
"RLI";"RLI Corp";"Financial Services";"Insurance";"109,71";"USA";120617;"6,16";"2.59";"2.36";"1.43";"4.23";"3.46";NA
"RLJ";"RLJ Lodging Trust";"Real Estate";"REITs";"14,44";"USA";868829;"-2,53";"1.61";"0.47";"0.93";"0.59";"-2.61";NA
"RLLMF";"Real Matters Inc";"Technology";"Software";"9,72";"Canada";4639;"0,41";"-0.07";"-0.30";"-0.05";"0.10";"0.47";NA
"RM";"Regional Management Corp";"Financial Services";"Credit Services";"59,66";"USA";51558;"6,47";"1.99";"2.54";"2.93";"3.80";"2.40";NA
"RMAX";"RE/MAX Holdings Inc";"Real Estate";"Real Estate";"33,72";"USA";111107;"0,59";"1.26";"0.57";"1.51";"1.40";"0.60";NA
"RMBL";"RumbleON Inc";"Consumer Cyclical";"Vehicles & Parts";"34,27";"USA";66503;"-4,74";"-0.80";"-17.20";"-33.95";"-40.53";"-11.44";NA
"RMBS";"Rambus Inc";"Technology";"Semiconductors";"23,85";"USA";594437;"-0,14";"0.06";"-0.21";"-1.46";"-0.77";"-0.36";NA
"RMED";"Ra Medical Systems Inc";"Healthcare";"Medical Devices & Instruments";"3,23";"USA";1349806;"-10,62";"-8.68";"-36.69";"-83.50";"-108.28";"-21.22";NA
"RMIAF";"Automotive Finco Corp";"Financial Services";"Banks";"1,64";"Canada";1366;"-0,05";"0.07";"-0.02";"0.11";"-0.01";"-0.03";NA
"RMNI";"Rimini Street Inc";"Technology";"Software";"9,39";"USA";400921;"-0,28";"-0.95";"-1.55";"-1.22";"-0.12";"-0.19";NA
"RMR";"The RMR Group Inc";"Real Estate";"Real Estate";"46,43";"USA";108999;"1,69";"2.33";"2.63";"5.92";"4.59";"1.75";NA
"RMRM";"RMR Mortgage Trust";"Real Estate";"REITs";"11,19";"USA";19661;"2,44";"3.33";"0.91";"-2.50";"6.89";"-5.49";NA
"RNDB";"Randolph Bancorp Inc";"Financial Services";"Banks";"20,1";"USA";5008;"4,11";"0.08";"-0.39";"-0.37";"0.64";"3.86";NA
"RNECF";"Renesas Electronics Corp";"Technology";"Semiconductors";"10,75";"Japan";20449;"0,31";"0.46";"0.54";"0.27";"-0.03";"0.25";NA
"RNG";"RingCentral Inc";"Technology";"Software";"253,78";"USA";1091178;"-1,48";"-0.22";"-0.06";"-0.33";"-0.64";"-0.94";NA
