"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"A";"Agilent Technologies Inc";"Healthcare";"Medical Diagnostics & Research";"176,73";"USA";1669991;"3,2";"1.40";"2.10";"0.97";"3.37";"2.30";NA
"AA";"Alcoa Corp";"Basic Materials";"Metals & Mining";"44,05";"USA";7625793;"2,28";"-2.19";"1.49";"1.33";"-6.07";"-0.91";NA
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";"24,5";"Germany";1000;"-1,48";"3.51";"3.79";"3.96";"2.69";"-1.83";NA
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5,42";"Hong Kong";3900;"0,19";"0.47";"0.66";"0.45";"0.26";"0.19";NA
"AACG";"ATA Creativity Global";"Consumer Defensive";"Education";"2,7";"China";1304972;"-0,09";"0.18";"-0.06";"5.30";"-0.72";"-0.48";NA
"AAGIY";"AIA Group Ltd";"Financial Services";"Insurance";"48,21";"Hong Kong";244673;"2,28";"1.40";"2.04";"1.04";"2.00";"1.92";NA
"AAGRY";"Astra Agro Lestari Tbk";"Consumer Defensive";"Consumer Packaged Goods";"2,63";"Indonesia";390;"0,2";"0.42";"0.38";"0.26";"0.04";"0.15";NA
"AAIC";"Arlington Asset Investment Corp";"Real Estate";"REITs";"3,78";"USA";197742;"0";"-1.79";"0.66";"-3.18";"0.31";"-2.00";NA
"AAL";"American Airlines Group Inc";"Industrials";"Transportation";"19,51";"USA";31831201;"-10,46";"4.65";"2.61";"3.03";"3.79";"-18.36";NA
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";"61,55";"Netherlands";1085;"2,17";"1.74";"2.19";"2.45";"2.26";"1.29";NA
"AAMC";"Altisource Asset Management Corp";"Financial Services";"Asset Management";"17,75";"us)";61166;"65,97";"-2.93";"-4.57";"-6.88";"-1.77";"24.38";NA
"AAME";"Atlantic American Corp";"Financial Services";"Insurance";"3,87";"USA";89501;"0,74";"0.11";"0.20";"-0.05";"-0.04";"0.56";NA
"AANNF";"Aroundtown SA";"Real Estate";"Real Estate";"7,85";"Luxembourg";6117;"0,46";"0.92";"1.60";"1.70";"1.23";"0.60";NA
"AAOI";"Applied Optoelectronics Inc";"Technology";"Semiconductors";"7,28";"USA";485637;"-1,87";"1.76";"3.67";"-0.11";"-3.31";"-2.67";NA
"AAON";"AAON Inc";"Industrials";"Construction";"69,2";"USA";123136;"1,41";"1.00";"1.01";"0.80";"1.02";"1.49";NA
"AAP";"Advance Auto Parts Inc";"Consumer Cyclical";"Retail - Cyclical";"201,14";"USA";574298;"9,33";"6.20";"6.42";"5.73";"6.84";"7.14";NA
"AASZF";"Atlantic Sapphire ASA";"Consumer Defensive";"Consumer Packaged Goods";"5,5";"USA";6835;"-0,85";NA;"-0.28";"-0.20";"-0.19";"-0.74";NA
"AAT";"American Assets Trust Inc";"Real Estate";"REITs";"39,4";"USA";257332;"0,3";"0.72";"0.62";"0.42";"0.84";"0.46";NA
"AATC";"Autoscope Technologies Corp";"Technology";"Hardware";"7,78";"USA";58471;"0,54";"0.14";"0.40";"0.36";"1.33";"0.20";NA
"AAUKF";"Anglo American PLC";"Basic Materials";"Metals & Mining";"42,55";"UK";2459;"5,42";"1.23";"2.45";"2.74";"2.76";"1.67";NA
"AAVMY";"ABN AMRO Bank NV";"Financial Services";"Banks";"13,67";"Netherlands";16648;"0,66";"1.97";"3.42";"2.67";"2.29";"-0.20";NA
"AAVVF";"Advantage Energy Ltd";"Energy";"Oil & Gas";"4,1";"Canada";24047;"0,05";"-0.07";"0.39";"0.05";"-0.10";"-1.18";NA
"AAVXF";"Abivax SA";"Healthcare";"Biotechnology";"35,27";"France";841;"-3,3";"-1.55";"-1.34";"-1.76";"-2.79";"-1.89";NA
"AAWW";"Atlas Air Worldwide Holdings Inc";"Industrials";"Transportation";"73,48";"USA";350664;"15,51";"1.65";"8.64";"5.22";"-11.35";"13.50";NA
"AB";"AllianceBernstein Holding LP";"Financial Services";"Asset Management";"52,19";"USA";247785;"3,39";"2.23";"2.19";"2.50";"2.49";"2.88";NA
"ABANF";"Automated Bank Services Ltd";"Technology";"Software";"5,61";"Israel";1615;"0,3";"1.09";"0.14";"0.11";"0.23";"0.21";NA
"ABB";"ABB Ltd";"Industrials";"Industrial Products";"37,46";"Switzerland";1209059;"2,72";"0.88";"1.03";"1.02";"0.67";"2.43";NA
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";"120,57";"USA";7235133;"3,71";"3.63";"3.30";"3.66";"5.28";"2.72";NA
"ABC";"AmerisourceBergen Corp";"Healthcare";"Medical Distribution";"119,52";"USA";812622;"-18,43";"6.32";"1.64";"7.53";"4.04";"-16.65";NA
"ABCB";"Ameris Bancorp";"Financial Services";"Banks";"48,69";"USA";357426;"6,09";"2.08";"1.98";"2.80";"2.75";"3.77";NA
"ABEO";"Abeona Therapeutics Inc";"Healthcare";"Biotechnology";"1,28";"USA";909744;"-0,58";"-0.64";"-0.66";"-1.19";"-1.51";"-0.91";NA
"ABEV";"Ambev SA";"Consumer Defensive";"Beverages - Alcoholic";"3,27";"Brazil";24619048;"0,18";"0.24";"0.14";"0.18";"0.18";"0.14";NA
"ABG";"Asbury Automotive Group Inc";"Consumer Cyclical";"Vehicles & Parts";"185,62";"USA";148555;"22,13";"7.40";"6.62";"8.28";"9.55";"13.18";NA
"ABGSF";"ABG Sundal Collier Holding ASA";"Financial Services";"Capital Markets";"1,65";"Norway";984;"0,16";"0.05";"0.06";"0.04";"0.05";"0.09";NA
"ABIO";"ARCA biopharma Inc";"Healthcare";"Biotechnology";"3,05";"USA";331176;"-1,54";"-32.58";"-31.86";"-10.31";"-4.15";"-2.07";NA
"ABM";"ABM Industries Inc";"Industrials";"Business Services";"49,14";"USA";487594;"2,14";"1.01";"0.07";"1.47";"1.90";NA;NA
"ABMAF";"Albioma";"Utilities";"Utilities - Independent Power Producers";"40,01";"France";647;"2,03";"1.17";"1.47";"1.64";"1.55";"2.09";NA
"ABR";"Arbor Realty Trust Inc";"Real Estate";"REITs";"18,19";"USA";1334461;"2,6";"0.83";"1.12";"1.50";"1.27";"1.41";NA
"ABSCF";"AB Science";"Healthcare";"Drug Manufacturers";"16,83";"France";1406;"-0,39";"-0.82";"-0.89";"-0.79";"-0.61";"-0.41";NA
"ABSSF";"AirBoss of America Corp";"Basic Materials";"Chemicals";"30,5";"Canada";1111;"1,95";"0.59";"0.54";"0.37";"0.44";"1.35";NA
"ABT";"Abbott Laboratories";"Healthcare";"Medical Devices & Instruments";"125,94";"USA";4207901;"3,55";"0.94";"0.27";"1.33";"2.06";"2.50";NA
"ABTX";"Allegiance Bancshares Inc";"Financial Services";"Banks";"36,98";"USA";49189;"3,57";"1.75";"1.31";"2.37";"2.47";"2.22";NA
"ABTZY";"Aboitiz Equity Ventures Inc";"Utilities";"Utilities - Regulated";"8,04";"Philippines";285;"0,92";"0.80";"0.77";"0.79";"0.78";"0.55";NA
"ABUS";"Arbutus Biopharma Corp";"Healthcare";"Biotechnology";"3,38";"USA";1439537;"-0,94";"-7.24";"-1.56";"-1.21";"-2.89";"-1.00";NA
"ABVC";"ABVC BioPharma Inc";"Healthcare";"Biotechnology";"3,18";"USA";2212126;"-0,47";"-1.08";"-0.36";"-0.36";"-0.21";"-0.50";NA
"AC";"Associated Capital Group Inc";"Financial Services";"Capital Markets";"36,75";"USA";11765;"4,72";"0.41";"0.37";"-2.52";"1.74";"0.84";NA
"ACA";"Arcosa Inc";"Industrials";"Construction";"51,49";"USA";257806;"1,6";"2.52";"1.84";"1.54";"2.32";"2.18";NA
"ACAD";"ACADIA Pharmaceuticals Inc";"Healthcare";"Biotechnology";"16,97";"USA";1339914;"-1,65";"-2.34";"-2.36";"-1.94";"-1.60";"-1.79";NA
"ACAZF";"Acadian Timber Corp";"Basic Materials";"Forest Products";"14,76";"Canada";2499;"1,51";"0.72";"1.44";"1.17";"0.79";"1.03";NA
"ACB";"Aurora Cannabis Inc";"Healthcare";"Drug Manufacturers";"7,14";"Canada";4551805;"-16,36";"-0.37";"-0.45";"1.37";"-2.75";"-25.04";NA
"ACBI";"Atlantic Capital Bancshares Inc";"Financial Services";"Banks";"24,03";"USA";158205;"2,1";"0.53";"-0.15";"1.09";"2.12";"1.05";NA
"ACC";"American Campus Communities Inc";"Real Estate";"REITs";"51,02";"USA";691420;"0,07";"0.75";"0.50";"0.84";"0.60";"0.51";NA
"ACCO";"ACCO Brands Corp";"Industrials";"Industrial Products";"9,25";"USA";348913;"0,8";"0.87";"1.19";"1.00";"1.06";"0.65";NA
"ACCYY";"Accor SA";"Consumer Cyclical";"Travel & Leisure";"6,79";"France";53591;"-0,44";"0.19";"0.34";"1.73";"0.34";"-1.88";NA
"ACDSF";"Ascendas Real Estate Investment Trust";"Real Estate";"REITs";"2,31";"Singapore";16863;"0,1";"0.09";"0.11";"0.12";"0.12";"0.09";NA
"ACDVF";"Air Canada";"Industrials";"Transportation";"19,35";"Canada";104833;"-10,6";"2.32";"5.73";"0.10";"4.13";"-12.86";NA
"ACEJF";"ACEA SpA";"Utilities";"Utilities - Regulated";"23,12";"Italy";200;"1,68";"1.30";"1.00";"1.45";"1.48";"1.63";NA
"ACER";"Acer Therapeutics Inc";"Healthcare";"Biotechnology";"2,53";"USA";310659;"-1,35";"-11.70";"-3.84";"-2.49";"-2.91";"-2.06";NA
"ACEYY";"Acer Inc";"Technology";"Hardware";"9,38";"Taiwan";125;"0,58";"-0.25";"0.16";"0.16";"0.14";"0.35";NA
"ACGBY";"Agricultural Bank of China Ltd";"Financial Services";"Banks";"8,37";"Hong Kong";43732;"2,4";"1.99";"2.20";"2.14";"2.10";"2.26";NA
"ACGL";"Arch Capital Group Ltd";"Financial Services";"Insurance";"41,25";"Bermuda";1653288;"4,98";"1.78";"1.36";"1.73";"3.87";"3.32";NA
"ACGPF";"Accell Group NV";"Consumer Cyclical";"Travel & Leisure";"49,85";"Netherlands";279;"3,62";"1.27";"0.46";"0.87";"0.11";"2.93";NA
"ACGYF";"Subsea 7 SA";"Energy";"Oil & Gas";"7,7";"UK";377;"-0,51";"1.27";"1.36";"0.56";"-0.27";"-3.67";NA
"ACH";"Aluminum Corporation of China Ltd";"Basic Materials";"Metals & Mining";"17,61";"China";146007;"0,11";"0.06";"0.33";"0.12";"0.13";"0.11";NA
"ACHC";"Acadia Healthcare Co Inc";"Healthcare";"Healthcare Providers & Services";"66,3";"USA";351579;"-7,89";"0.07";"2.30";"-2.01";"1.24";"-7.65";NA
"ACHV";"Achieve Life Sciences Inc";"Healthcare";"Biotechnology";"7,93";"Canada";158680;"-4,74";"-90.42";"-441.40";"-72.29";"-39.76";"-5.42";NA
"ACIU";"AC Immune SA";"Healthcare";"Biotechnology";"6,99";"Switzerland";2737845;"-1,12";"-0.14";"-0.47";"-0.83";"0.65";"-0.97";NA
"ACIW";"ACI Worldwide Inc";"Technology";"Software";"32,09";"USA";600509;"0,72";"1.09";"0.04";"0.59";"0.57";"0.62";NA
"ACKAY";"Arcelik AS";"Technology";"Hardware";"19,31";"Turkey";605;"3,28";"1.12";"0.73";"0.73";"0.80";"2.45";NA
"ACLLF";"Atco Ltd";"Utilities";"Utilities - Regulated";"33,8";"Canada";4485;"1,46";"2.22";"1.50";"2.13";"3.39";"1.72";NA
"ACLS";"Axcelis Technologies Inc";"Technology";"Semiconductors";"50,9";"USA";225942;"1,78";"0.36";"3.80";"1.35";"0.50";"1.46";NA
"ACM";"AECOM";"Industrials";"Construction";"66,03";"USA";650420;"-0,93";"0.62";"2.13";"0.84";"-1.66";"-1.17";NA
"ACMC";"American Church Mortgage Co";"Real Estate";"REITs";"1,25";"USA";1247;"-0,32";"-0.20";"0.09";"-0.03";"0.03";"-0.08";NA
"ACMR";"ACM Research Inc";"Technology";"Semiconductors";"88,18";"USA";431494;"1,34";"0.13";"-0.05";"0.37";"0.99";"0.89";NA
"ACN";"Accenture PLC";"Technology";"Software";"337";"Ireland";1570429;"8,94";"6.45";"5.44";"6.34";"7.36";"7.89";NA
"ACNB";"ACNB Corp";"Financial Services";"Banks";"28,75";"USA";14889;"3,44";"1.80";"1.50";"3.09";"3.36";"2.13";NA
"ACOR";"Acorda Therapeutics Inc";"Healthcare";"Biotechnology";"4,13";"USA";1505567;"-15,34";"-4.56";"-29.16";"4.26";"-34.43";"-12.32";NA
"ACR";"ACRES Commercial Realty Corp";"Real Estate";"REITs";"16,54";"USA";41993;"4,73";"-5.19";"0.54";"0.67";"2.43";"-19.33";NA
"ACRE";"Ares Commercial Real Estate Corp";"Real Estate";"REITs";"15,69";"USA";467158;"1,75";"1.41";"1.07";"1.35";"1.28";"0.66";NA
"ACRS";"Aclaris Therapeutics Inc";"Healthcare";"Biotechnology";"15,4";"USA";391983;"-1,46";"-2.25";"-2.44";"-4.03";"-3.90";"-1.20";NA
"ACRX";"AcelRx Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"1,13";"USA";1899849;"-0,36";"-0.95";"-1.10";"-0.81";"-0.67";"-0.47";NA
"ACSAF";"ACS Actividades de Construccion y Servicios SA";"Industrials";"Construction";"26,85";"Spain";1082;"2,07";"1.97";"2.41";"2.75";"3.02";"2.22";NA
"ACST";"Acasti Pharma Inc";"Healthcare";"Biotechnology";"3,21";"Canada";1012528;"-1,02";"-3.48";NA;"-7.62";"-5.84";"-2.40";-1,36
"ACTG";"Acacia Research Corp";"Industrials";"Business Services";"5,89";"USA";283147;"-0,93";"-1.08";"0.44";"-2.10";"-0.40";"1.54";NA
"ACU";"Acme United Corp";"Consumer Defensive";"Consumer Packaged Goods";"40,28";"USA";11098;"3,36";"1.64";"1.09";"1.30";"1.60";"2.31";NA
"ACXIF";"Acciona SA";"Industrials";"Construction";"164";"Spain";61;"11,18";"6.51";"4.49";"6.71";"7.18";"8.48";NA
"ACY";"AeroCentury Corp";"Industrials";"Business Services";"35,67";"USA";767751;"-17,57";"0.78";"5.10";"-5.58";"-10.78";"-27.33";NA
"ADAP";"Adaptimmune Therapeutics PLC";"Healthcare";"Biotechnology";"5,24";"UK";2055849;"-0,96";"-1.02";"-0.78";"-0.96";"-1.32";"-0.90";NA
"ADBCF";"Adbri Ltd";"Basic Materials";"Building Materials";"2,73";"Australia";500;"0,14";"0.21";"0.21";"0.20";"0.05";"0.11";NA
"ADBE";"Adobe Inc";"Technology";"Software";"665,99";"USA";1384896;"11,54";"2.32";"3.38";"5.20";"6.00";"10.83";NA
"ADC";"Agree Realty Corp";"Real Estate";"REITs";"74,52";"USA";371606;"1,63";"1.97";"2.08";"1.78";"1.93";"1.74";NA
"ADCT";"ADC Therapeutics SA";"Healthcare";"Biotechnology";"28,82";"Switzerland";282637;"-2,64";NA;"-1.53";"-2.29";"-1.59";"-3.77";NA
"ADDDF";"adidas AG";"Consumer Cyclical";"Manufacturing - Apparel & Accessories";"350,08";"Germany";216;"5,94";"5.26";"6.37";"9.58";"11.11";"2.69";NA
"ADDXF";"Addex Therapeutics Ltd";"Healthcare";"Biotechnology";"1,56";"Switzerland";5000;"-0,46";"-0.28";"-0.25";"-0.07";"-0.57";"-0.54";NA
"ADES";"Advanced Emissions Solutions Inc";"Industrials";"Industrial Products";"6,82";"USA";158833;"1,95";"4.34";"1.29";"1.76";"1.93";"-1.12";NA
"ADI";"Analog Devices Inc";"Technology";"Semiconductors";"166,98";"USA";4527590;"4,57";"2.76";"2.29";"4.00";"3.65";"3.28";NA
"ADIL";"Adial Pharmaceuticals Inc";"Healthcare";"Biotechnology";"4,13";"USA";721241;"-1,03";"-0.09";"-0.21";"-2.44";"-0.87";"-0.87";NA
"ADM";"Archer-Daniels Midland Co";"Consumer Defensive";"Consumer Packaged Goods";"60,07";"USA";2250652;"4,1";"2.16";"2.79";"3.19";"2.44";"3.15";NA
"ADMA";"ADMA Biologics Inc";"Healthcare";"Biotechnology";"1,33";"USA";3513471;"-0,7";"-1.61";"-1.91";"-1.45";"-0.89";"-0.88";NA
"ADMP";"Adamis Pharmaceuticals Corp";"Healthcare";"Drug Manufacturers";"1,05";"USA";3698976;"-0,64";"-1.19";"-0.90";"-1.00";"-0.52";"-0.64";NA
"ADMS";"Adamas Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"4,53";"USA";231127;"-1,69";"-2.77";"-3.97";"-4.87";"-3.80";"-2.03";NA
"ADNT";"Adient PLC";"Consumer Cyclical";"Vehicles & Parts";"40,15";"Ireland";876160;"1,17";"-16.54";"9.34";"-18.06";"-5.25";"-5.83";NA
"ADOCY";"Adocia";"Healthcare";"Biotechnology";"9,8";"France";150;"-3,86";"-1.27";"-1.42";"1.14";"-3.00";"-4.02";NA
"ADOOY";"PT Adaro Energy Tbk";"Energy";"Other Energy Sources";"4,78";"Indonesia";18689;"0,24";"0.49";"0.70";"0.61";"0.59";"0.21";NA
"ADPXY";"Audio Pixels Holdings Ltd";"Technology";"Hardware";"18,82";"Australia";988;"-0,28";"-0.14";"-0.17";"-0.12";"-0.15";"-0.32";NA
"ADRNY";"Koninklijke Ahold Delhaize NV";"Consumer Defensive";"Retail - Defensive";"33,87";"Netherlands";57659;"1,32";"0.85";"1.69";"1.70";"1.77";"1.58";NA
"ADRZY";"Andritz AG";"Industrials";"Industrial Distribution";"11,34";"Austria";1406;"0,62";"0.57";"0.61";"0.50";"0.28";"0.51";NA
"ADS";"Alliance Data Systems Corp";"Financial Services";"Credit Services";"94,63";"USA";660918;"14,25";"7.34";"14.10";"17.49";"5.36";"4.46";NA
"ADT";"ADT Inc";"Industrials";"Business Services";"8,34";"USA";1940961;"-0,5";"-0.77";"0.46";"-0.81";"-0.57";"-0.82";NA
"ADTN";"Adtran Inc";"Technology";"Hardware";"20,51";"USA";416614;"0,36";"0.72";"0.49";"-0.40";"-1.11";"0.05";NA
"ADUS";"Addus HomeCare Corp";"Healthcare";"Healthcare Providers & Services";"89,95";"USA";84687;"2,37";"1.07";"1.03";"1.33";"1.77";"2.08";NA
"ADVM";"Adverum Biotechnologies Inc";"Healthcare";"Biotechnology";"2,39";"USA";1772110;"-1,44";"-3.14";"-1.29";"-1.18";"-1.01";"-1.38";NA
"ADVOF";"ADVA Optical Networking SE";"Technology";"Hardware";"16,43";"Germany";1239;"1,01";"0.45";"-0.11";"0.22";"0.16";"0.49";NA
"ADYEY";"Adyen NV";"Technology";"Software";"32,39";"Netherlands";487631;"0,15";"0.03";"0.03";"0.05";"0.09";"0.10";NA
"ADZZF";"Advance Residence Investment Corp";"Real Estate";"REITs";"3394";"Japan";3;"102,06";"89.74";"86.21";"92.23";"96.30";"103.73";NA
"AE";"Adams Resources & Energy Inc";"Energy";"Oil & Gas";"30,5";"USA";10512;"3,85";"0.60";"-0.11";"0.70";"1.94";"0.23";NA
"AEDFF";"Aedifica SA";"Real Estate";"REITs";"146";"Belgium";181;"4,07";"2.99";"4.37";"4.54";"4.16";NA;NA
"AEE";"Ameren Corp";"Utilities";"Utilities - Regulated";"88,49";"USA";977195;"3,64";"2.68";"2.14";"3.32";"3.35";"3.50";NA
"AEF";"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.";"Financial Services";"Asset Management";"8,67";"USA";37582;"3,35";"1.17";"2.85";"-1.17";"1.44";"1.02";NA
"AEG";"Aegon NV";"Financial Services";"Insurance";"4,9";"Netherlands";1528843;"0,49";"0.16";"1.35";"0.33";"0.62";"-0.11";NA
"AEGXF";"Aecon Group Inc";"Industrials";"Construction";"16,43";"Canada";671;"1,08";"0.58";"0.36";"0.70";"0.85";"1.01";NA
"AEHL";"Antelope Enterprise Holdings Ltd";"Industrials";"Construction";"3,46";"China";1997412;"-20,69";"-50.51";"-11.99";"-40.61";"-0.67";"-10.04";NA
"AEIS";"Advanced Energy Industries Inc";"Industrials";"Industrial Products";"90,46";"USA";220765;"4,2";"3.18";"3.43";"3.74";"1.69";"3.50";NA
"AEL";"American Equity Investment Life Holding Co";"Financial Services";"Insurance";"31,81";"USA";311495;"9,23";"0.97";"1.93";"5.01";"2.68";"6.90";NA
"AEM";"Agnico Eagle Mines Ltd";"Basic Materials";"Metals & Mining";"57,25";"Canada";1298160;"3,08";"0.70";"1.04";"-1.40";"1.99";"2.10";NA
"AENZ";"Aenza SAA";"Industrials";"Construction";"1,51";"Peru";246673;"-0,3";"-0.94";"0.27";"-0.15";"-1.31";"-0.30";NA
"AEOJF";"AEON Financial Service Co Ltd";"Financial Services";"Credit Services";"12,21";"Japan";292;"1,32";"1.59";"1.63";"1.60";"1.56";NA;NA
"AEOXF";"Aeroports de Paris SA";"Industrials";"Transportation";"119";"France";186;"-9,79";"4.64";"6.83";"7.01";"6.61";"-14.37";NA
"AEP";"American Electric Power Co Inc";"Utilities";"Utilities - Regulated";"89,62";"USA";2549692;"4,67";"1.24";"3.88";"3.90";"3.88";"4.42";NA
"AER";"AerCap Holdings NV";"Industrials";"Transportation";"54,33";"Ireland";955489;"-2,76";"5.52";"6.43";"6.83";"8.43";"-2.34";NA
"AERG";"Applied Energetics Inc";"Industrials";"Aerospace & Defense";"1,64";"USA";201202;"-0,03";"-0.01";"-0.01";"-0.02";"-0.03";"-0.02";NA
"AERI";"Aerie Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"14,52";"USA";343028;"-3,61";"-3.40";"-4.11";"-5.58";"-4.39";"-3.99";NA
"AES";"The AES Corp";"Utilities";"Utilities - Regulated";"23,98";"USA";5287133;"-0,21";"-1.72";"-1.76";"1.81";"0.45";"0.07";NA
"AETUF";"ARC Resources Ltd";"Energy";"Oil & Gas";"6,94";"Canada";104510;"0,38";"0.43";"0.86";"0.45";"-0.06";"-1.21";NA
"AEXAF";"Atos SE";"Technology";"Software";"49,5";"France";1800;"1,05";"5.85";"6.75";"6.77";"35.07";"6.14";NA
"AEY";"Addvantage Technologies Group Inc";"Technology";"Hardware";"2,64";"USA";41112;"-0,67";"0.03";"-0.01";"-0.71";"-0.51";"-1.55";NA
"AEYE";"AudioEye Inc";"Technology";"Software";"12,95";"USA";143613;"-0,86";"-2.50";"-1.21";"-0.74";"-0.97";"-0.77";NA
"AFCJF";"AFC Ajax NV";"Consumer Cyclical";"Travel & Leisure";"17,1";"Netherlands";100;"0,57";"-0.05";"3.03";"0.14";"3.20";"1.27";NA
"AFG";"American Financial Group Inc";"Financial Services";"Insurance";"136,43";"USA";314812;"26,33";"7.33";"5.28";"5.85";"9.85";"8.20";NA
"AFGVY";"Agfa-Gevaert NV";"Industrials";"Industrial Products";"9,19";"Belgium";100;"-0,64";"0.89";"0.52";"-0.32";"-0.71";"8.91";NA
"AFI";"Armstrong Flooring Inc";"Industrials";"Construction";"3,56";"USA";157661;"-1,67";"0.32";"-1.54";"-6.27";"-2.42";"-2.90";NA
"AFIN";"American Finance Trust Inc";"Real Estate";"REITs";"8,64";"USA";750899;"-0,31";"-0.52";"-0.47";"-0.35";"-0.03";"-0.43";NA
"AFL";"Aflac Inc";"Financial Services";"Insurance";"56,43";"USA";2795956;"8,29";"3.21";"5.77";"3.77";"4.43";"6.67";NA
"AFLYY";"Air France-KLM";"Industrials";"Transportation";"4,75";"France";22726;"-14,42";"2.37";"0.44";"1.05";"0.68";"-20.15";NA
"AFMD";"Affimed NV";"Healthcare";"Biotechnology";"7,07";"Germany";1021464;"-0,47";"-1.02";"-0.82";"-0.36";"-0.56";"-0.61";NA
"AG";"First Majestic Silver Corp";"Basic Materials";"Metals & Mining";"12,66";"Canada";3634669;"0,37";"0.05";"-0.32";"-1.11";"-0.20";"0.11";NA
"AGCO";"AGCO Corp";"Industrials";"Farm & Heavy Construction Machinery";"139,88";"USA";526116;"9,59";"1.96";"2.32";"3.58";"1.63";"5.65";NA
"AGEN";"Agenus Inc";"Healthcare";"Biotechnology";"6,63";"USA";3339085;"-1,1";"-1.46";"-1.23";"-1.44";"-0.80";"-1.05";NA
"AGESF";"Ageas SA/ NV";"Financial Services";"Insurance";"54,2";"Belgium";620;"4,89";"0.14";"3.66";"4.68";"5.64";"7.37";NA
"AGFMF";"AGF Management Ltd";"Financial Services";"Asset Management";"5,58";"Canada";257;"1,66";"0.40";"0.50";"0.70";"0.45";"1.70";NA
"AGFS";"AgroFresh Solutions Inc";"Consumer Defensive";"Consumer Packaged Goods";"2,02";"USA";72349;"-1,13";"-2.26";"0.47";"-0.60";"-1.07";"-1.26";NA
"AGGZF";"Ag Growth International Inc";"Industrials";"Farm & Heavy Construction Machinery";"23,22";"Canada";2192;"0";"0.97";"1.71";"1.16";"0.59";"-2.58";NA
"AGI";"Alamos Gold Inc";"Basic Materials";"Metals & Mining";"7,8";"Canada";2579712;"0,06";"-0.07";"0.09";"-0.19";"0.24";"0.37";NA
"AGIO";"Agios Pharmaceuticals Inc";"Healthcare";"Biotechnology";"43,99";"USA";649759;"22,7";"-5.07";"-6.75";"-6.03";"-6.86";"-4.74";NA
"AGLE";"Aeglea BioTherapeutics Inc";"Healthcare";"Biotechnology";"7,13";"USA";127371;"-1,01";"-2.22";"-1.80";"-2.13";"-2.45";"-1.52";NA
"AGM";"Federal Agricultural Mortgage Corp";"Financial Services";"Credit Services";"97,67";"USA";27844;"9,39";"5.97";"6.60";"8.83";"8.69";"8.27";NA
"AGMH";"AGM Group Holdings Inc";"Technology";"Software";"9,88";"Hong Kong";112559;"-0,05";"0.11";"0.18";"-0.40";"-0.07";"-0.05";NA
"AGMJF";"Algoma Central Corp";"Industrials";"Transportation";"13";"Canada";485;"1,18";"0.56";"1.08";"0.96";"0.48";"0.93";NA
"AGNC";"AGNC Investment Corp";"Real Estate";"REITs";"16,23";"USA";6026095;"3,46";"1.79";"2.04";"0.21";"1.16";"-0.66";NA
"AGO";"Assured Guaranty Ltd";"Financial Services";"Insurance";"49,71";"Bermuda";339139;"4,21";"6.56";"5.96";"4.68";"4.00";"4.19";NA
"AGPIF";"Anglo Pacific Group PLC";"Basic Materials";"Steel";"1,9";"UK";2765;"0,02";"0.20";"0.08";"0.20";"0.21";"-0.14";NA
"AGPPF";"Anglo American Platinum Ltd";"Basic Materials";"Metals & Mining";"113,6";"South africa";191;"18,7";"0.17";"0.56";"1.84";"4.88";"7.74";NA
"AGPYF";"Agile Group Holdings Ltd";"Real Estate";"Real Estate";"1,11";"China";1706;"0,38";"0.09";"0.24";"0.27";"0.28";"0.37";NA
"AGR";"Avangrid Inc";"Utilities";"Utilities - Regulated";"54,75";"USA";383436;"2,18";"2.04";"1.23";"1.89";"2.16";"1.88";NA
"AGRO";"Adecoagro SA";"Consumer Defensive";"Consumer Packaged Goods";"9,39";"Luxembourg";705980;"0,87";"0.09";"0.11";"-0.21";"-0.01";NA;NA
"AGRPY";"Absa Group Ltd";"Financial Services";"Banks";"20,76";"South africa";2139;"2,29";"2.55";"2.54";"2.35";"2.38";"0.96";NA
"AGRUF";"AF Gruppen ASA";"Industrials";"Construction";"21,35";"Norway";4600;"1,16";"0.85";"0.77";"0.91";"0.94";"1.07";NA
"AGRX";"Agile Therapeutics Inc";"Healthcare";"Drug Manufacturers";"1,18";"USA";702350;"-0,78";"-1.02";"-0.91";"-0.58";"-0.38";"-0.61";NA
"AGS";"PlayAGS Inc";"Consumer Cyclical";"Travel & Leisure";"8,2";"USA";203107;"-1,12";"-3.51";"-1.34";"-0.61";"-0.33";"-2.40";NA
"AGTC";"Applied Genetic Technologies Corp";"Healthcare";"Biotechnology";"3,54";"USA";542256;"-2,16";"-0.08";"0.02";"-1.18";"-0.11";"-2.17";NA
"AGXKF";"Anglo Asian Mining PLC";"Basic Materials";"Metals & Mining";"1,83";"Azerbaijan";2921;"0,2";"0.04";"0.02";"0.14";"0.17";"0.20";NA
